"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
"CLU","General","Yes","Yes","","Yes","Yes","","","","No"
"COBOL","Application, business","Yes","Yes","","Yes","","","","","ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014"
"Cobra","Application, business, general, Web","Yes","Yes","Yes","","Yes","Yes","","","No"
"ColdFusion (CFML)","Web","","Yes","","Yes","","","","","No"
"Common Lisp","General","Yes","Yes","Yes","Yes","Yes","Yes","Yes","extensible syntax, syntactic macros, multiple dispatch","1994, ANSI"
"COMAL 80","Education","Yes","","","Yes","","","","","No"
"Crystal 1.0.0","Education","Yes","","Yes","Yes","","","","","No"
"Cython","Application, general, numerical computing","Yes","Yes","Yes","","","Yes","","aspect-oriented","No"
"D","Application, system","Yes","Yes","Yes","","Yes","","","generative, concurrent","No"
"Dart","Application, Web","Yes","Yes","","","","","","structured","Ecma-408 standard"
"Dylan","Application","","Yes","Yes","","","","","","No"
"Eiffel","Application","Yes","Yes","","","Yes","","","","2005, ECMA, ISO"
"Elixir","Application, distributed","","","Yes","","","","","concurrent, distributed","No"
"Erlang","Application, distributed, telecom","","","Yes","","","","","concurrent, distributed","No"
"Euphoria","Application","","","","Yes","","Yes","","","No"
"Factor","","","","","","","","","stack-oriented","No"
"Falcon","General, Application","","Yes","Yes","Yes","","","","prototype OOP, message oriented, tabular programming","No"
"FP","","","","Yes","","","","","","No"
"F#","Application","Yes","Yes","Yes","","Yes","","","","No"
"Forth","General","Yes","","can be viewed as","","","","","stack-oriented","1994, ANSI"
"Fortran","Application, numerical computing","Yes","Yes","","Yes","Yes","","","","1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008)"
"FreeBASIC","Application, numerical computing","Yes","Yes","","Yes","Yes","","","","No"
"G2","Application, inference, expert system","Yes","Yes","","","","","Yes","common graphical development and runtime environment","No"
"Gambas","Application","Yes","Yes","","","","","Yes","","No"
"Game Maker Language","Application, games","Yes","Yes","","","","","Yes","","No"
"GLBasic","Application, games","Yes","Yes","","Yes","","","","simple object-oriented","No"
"Go","Application, Web, server-side","Yes","","","Yes","","Yes","Yes","concurrent","No"
"Gosu","Application, general, scripting, Web","Yes","Yes","","","Yes","Yes","","","No"
"GraphTalk","Application","","Yes","","","","","","logic","No"
"Groovy","Application, general, scripting, Web","Yes","Yes","Yes","","","","","aspect-oriented","In progress, JCP"
"Harbour","Application, business, data processing, general, Web","Yes","Yes","Yes","Yes","Yes","Yes","","declarative","No"
"Haskell","Application","","","Yes","","Yes","","","lazy evaluation","2010, Haskell 2010"
"Haxe","Application, general, Web","Yes","Yes","Yes","","Yes","Yes","","","No"
"HyperNext","Application, education","","","","Yes","","","Yes","weakly typed","No"
"HyperTalk","Application, RAD, General","","Yes","","","","","Yes","weakly typed","Unknown"
"Io","Application, host-driven scripting","Yes","Yes","","","","","","","No"
"ISLISP","General","Yes","Yes","Yes","","Yes","","","","1997, ISO"
"J","Data processing","","","","","","","","array-oriented, function-level, tacit","No"
"JADE","Application, distributed","Yes","Yes","","","","","","","No"
"Java","Application, business, client-side, general, server-side, Web","Yes","Yes","Yes","Yes","Yes","Yes","","concurrent","De facto standard via Java Language Specification"
"Julia","General and made for technical computing","Yes","Yes","Yes","Yes","Yes","Yes","","multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")","No"
"JavaScript","Client-side, Server-side, Web","Yes","Yes","Yes","","","Yes","","prototype-based","1997, ECMA"
"Joy","Research","","","Yes","","","","","stack-oriented","No"
"K","Data processing, business","","","","","","","","array-oriented, tacit","Unknown"
"Kotlin","Application, mobile development, server-sider, client-side, Web","Yes","Yes","Yes","","Yes","Yes","","","No"
"LabVIEW (G)","Application, industrial instrumentation-automation","","","","","","","","dataflow, visual","No"
"Lisp","General","","","Yes","","","","","","Unknown"
"Livecode","Application, RAD, General","","Yes","","","","","Yes","weakly typed","No"
"Logtalk","Artificial intelligence, application","","Yes","","","","Yes","Yes","logic","No"
"Lua","Application, embedded scripting","Yes","Yes","Yes","Yes","","Yes","","aspect-oriented","No"
"Maple","Symbolic computation, numerical computing","Yes","Yes","Yes","Yes","","","","distributed","No"
"Mathematica","Symbolic language","Yes","Yes","Yes","Yes","","","","logic, distributed","No"
"MATLAB","Highly domain-specific, numerical computing","Yes","Yes","","Yes","","","","","No"
"Modula-2","Application, system","Yes","","","","Yes","","","","1996, ISO"
"Modula-3","Application","Yes","Yes","","","Yes","","","","No"
"MUMPS (M)","Application, databases","Yes","","","Yes","","","","concurrent, multi-user, NoSQL, transaction processing","1977, ANSI"
"Nim","Application, general, Web, scripting, system","Yes","Yes","Yes","Yes","Yes","Yes","","multiple dispatch, Concurrent, meta","No"
"Oberon","Application, system","Yes","Yes","","","","","","","No"
"Object Pascal (Delphi)","Application, general, mobile App, Web","Yes","Yes","","Yes","Yes","Yes","Yes","structured","No"
"Objective-C","Application, general","Yes","Yes","","","","Yes","","concurrent","No"
"OCaml","Application","Yes","Yes","Yes","","Yes","","","","No"
"Occam","General","Yes","","","Yes","","","","concurrent, process-oriented","No"
"Opa","Web applications","Yes","","Yes","","Yes","","","distributed","No"
"Oxygene","Application","Yes","Yes","","","Yes","","","","No"
"Oz","Application, distribution, education","Yes","Yes","Yes","","","","","concurrent, logic","No"
"Pascal","Application, education","Yes","","","Yes","","","","","1983, ISO"
"Perl","Application, scripting, text processing, Web","Yes","Yes","Yes","Yes","Yes","Yes","","","No"
"PHP","Server-side, Web Application, Web","Yes","Yes","","Yes","","Yes","","","No"
"PL/I","Application","Yes","Yes","","Yes","","","","","1969"
"Plus","Application, system development","Yes","","","Yes","","","","","No"
"Prolog","Application, artificial intelligence","","","","","","","","logic","1995, ISO"
"PureBasic","Application","","","","Yes","","","","","No"
"Python","Application, general, Web, scripting, artificial intelligence, scientific computing","Yes","Yes","Yes","","","Yes","","aspect-oriented","No"
"Racket","Education, general, scripting","","Yes","Yes","Yes","","Yes","","modular, logic, meta","No"
"REALbasic","Application","","","","Yes","","","","","Unknown"
"REBOL","Distributed","Yes","Yes","Yes","","","","","dialected","No"
"RPG","Application, system","Yes","","","Yes","","","","","No"
"Ruby","Application, scripting, Web","Yes","Yes","Yes","","","Yes","","aspect-oriented","2011(JIS X 3017), 2012(ISO/IEC 30170)"
"Rust","Application, system","Yes","Yes","Yes","Yes","Yes","Yes","","concurrent","No"
"S","Application, statistics","Yes","Yes","Yes","Yes","","","","","No"
"S-Lang","Application, numerical, scripting","Yes","","","Yes","","","","","No"
"Scala","Application, distributed, Web","Yes","Yes","Yes","","Yes","Yes","Yes","","De facto standard via Scala Language Specification (SLS)"
"Scheme","Education, general","","","Yes","","","","","","1998, RRS"
"Seed7","Application, general, scripting, Web","Yes","Yes","","","Yes","Yes","","multi-paradigm, extensible, structured","No"
"Simula","Education, general","Yes","Yes","","","","","Yes","discrete event simulation, multi-threaded (quasi-parallel) program execution","1968"
"Small Basic","Application, education, games","Yes","","","","","","Yes","component-oriented","No"
"Smalltalk","Application, General, Business, Web, Artificial Intelligence, Education","Yes","Yes","","Yes","","Yes","Yes","concurrent, declarative","1998, ANSI"
"SNOBOL","Text processing","","","","","","","","","Unknown"
"Standard ML","Application","Yes","","Yes","","Yes","","","","1997, SML '97"
"Swift","Application, general","Yes","Yes","Yes","","Yes","Yes","Yes","concurrent","No"
"Tcl","Application, scripting, Web","Yes","Yes","","Yes","","Yes","Yes","","No"
"Visual Basic","Application, RAD, education, business, general, (Includes VBA), office automation","Yes","Yes","","","Yes","","Yes","component-oriented","No"
"Visual Basic .NET","Application, RAD, education, Web, business, general","Yes","Yes","","","Yes","Yes","Yes","","No"
"Visual FoxPro","Application","","Yes","","","","","","data-centric, logic","No"
"Visual Prolog","Application","Yes","Yes","Yes","","","","Yes","declarative, logic","No"
"Windows PowerShell","Administration","Yes","Yes","Yes","","","Yes","","pipeline","No"
"XL","","Yes","Yes","","","","","","concept programming","No"
"Xojo","Application, RAD, General, Web","Yes","Yes","","Yes","","Yes","Yes","","No"
"Language","Intended use","Imperative","Object-oriented","Functional","Procedural","Generic","Reflective","Event-driven","Other paradigm(s)","Standardized?"
