"Name","Windows","Mac","Linux","Other OS","Open source","Online backup service","Freeware version","Portable","Encrypts files","Detect conflict","File lock","Open file support","Revision control","Detect rename","Detect move","Full duplex transfer","Propagate deletes","Case sensitive","Delta copying (block level transfer)","LAN Sync","Sync any directory","On-premise","Cross Cloud Sharing","External Storage","File Level Distribution Control",""
"Syncovery(SuperFlexible)","Yes","Yes","Yes","No","No","Yes","Yes, Linux only","Yes, manual install","","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","","","","","",""
"SyncBack","Yes","No","No","No","No","No","Yes","","","Yes","","","Yes","","","","","","","","","","","","",""
"Syncdocs","Yes","No","No","No, Google Docs web interface only","No","Yes","Yes, beta only","Yes","","Yes","No","Yes","Yes","Yes","Yes","for MS Word only","Yes","","","","","","","","",""
"Synchronize It!","Yes","No","No","No","No","No","No","","","No","","","","","","","","","","","","","","","",""
"Syncplicity","Yes","Yes","No","Yes, Android, iPhone, Windows Mobile","No","Yes","Yes","","","Yes","","","Yes","","","Yes","Yes","","No","No","Yes","","","","",""
"TeamDrive","Yes","Yes","Yes","Yes, Android, iOS","No","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","Yes","No","No","Yes","","","","",""
"Tonido","Yes","Yes","Yes","Yes, Android, BlackBerry, iPhone, Windows Phone","No","No","Yes","Yes","","Yes","No","Yes","No","Yes","Yes","Yes","Yes","","","","","","","","",""
"Ubuntu One (discontinued 2 April 2014)","Yes","Yes","Yes","Yes, Android, iPhone, iPad","Partial","Yes","Yes","","","","","","","","","","","","","","","","","","",""
"vBoxxCloud","Yes","Yes","Yes","Yes, Android, iOS, Windows Phone","No","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","",""
"WimiDisk","Yes","Yes","Yes","Yes, Android, iPhone","No","Yes","No","No","","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Yes","?","No","No","","","","",""
"Wuala","Yes","Yes","Yes","Yes, Android","Partial","Yes","Yes","","Yes","","","","","","","","","","","","","","","","",""
"ZumoDrive","Yes","Yes","Yes","Yes, Android, iPhone, Palm webOS","No","Yes","Yes","","","Yes","","","Yes","","","","","","","","","","","","",""
"Zetta.net","Yes","Yes","Yes","No","No","Yes","No","","","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes, Preserve file name case & file metadata","Yes","Yes","Yes","","","","",""
"Sercle.net","Yes","Yes","Yes","Yes, Android, iPhone","Partial","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","Yes","Yes","Yes","Yes","Yes","Yes",""
"Name","Windows","Mac","Linux","Other OS","Open source","Online backup service","Freeware version","Portable","Encrypts files","Detect conflict","File lock","Open file support","Revision control","Detect rename","Detect move","Full duplex transfer, collaborative","Propagate deletes","Case sensitive","Delta copying (block level transfer)","LAN Sync","Sync any directory","On-premise","Cross Cloud Sharing","External Storage","File Level Distribution Control",""
