"Name","Guest OS SMP available","Runs arbitrary OS","Supported guest OS drivers","Method of operation","Typical use","Speed relative to host OS","Commercial support available"
"SVISTA 2004","No","?","?","?","Hobbyist, Developer, Business workstation","?","?"
"TRANGO","Yes","Yes","Yes","Paravirtualization and porting or hardware virtualization","Mob. phone, STB, routers, etc.","Near native","?"
"User Mode Linux","?","No","special guest kernel+modules required","Porting","Developer (as a separate machine for a server or with X11 networking)","Non-significantly slower than native  (all calls to kernel are proxied)","?"
"OKL4 Microvisor","Yes","Yes, (either with para-virtualization or HW virtualization)","Yes","Paravirtualization, Hardware assisted virtualization","Mobile, embedded, security, safety critical, networking, legacy OS, etc.","Near native","Yes"
"Oracle VirtualBox","Yes","Yes","Yes","Virtualization","Business workstation, server consolidation, service continuity, developer, hobbyist","Up to near native","Yes (with commercial license)"
"Virtual Iron 3.1","Yes, up to 8 way","Yes","Yes","Native virtualization","Server consolidation, service continuity, dev/test","?","Yes"
"Virtual PC 2007","No","Yes","Yes","Virtualization, guest calls trapping where supported","Hobbyist, Developer, Business workstation","Up to near native with virtual machine additions","?"
"Windows Virtual PC","Yes","Yes","Yes","Hardware virtualization","Developer, Business workstation, support for Compatibility with Windows XP applications","Up to near native with virtual machine additions","No"
"Virtual PC 7 for Mac","No","Yes","Yes","dynamic recompilation (guest calls trapping where supported)","Hobbyist, Developer, Business workstation","Slow","?"
"Virtual Server 2005 R2","No","Yes","Yes","Virtualization (guest calls trapping where supported)","Server, server farm","Up to near native with virtual machine additions but slower than with hypervisor due to proxied calls","?"
"CoWare Virtual Platform","Yes","Yes","Yes ( Same compiled Software image as for the real device)","Full-system virtualization (Processor Core ISA + Hardware + External connections)","Early embedded software development and integration (from driver to application), Multi-core software debugging and optimization","Depending on the system characteristics and the software itself, ranges from faster than real time to slow.","Yes"
"Virtuozzo","Yes","No","Compatible","Operating system-level virtualization","Server consolidation, service continuity, disaster recovery, service providers","Up to near native","Yes"
"VMware ESXi Server 5.5 (vSphere)","Yes, add-on, up to 64 way","No","Yes","Virtualization","Server consolidation, service continuity, dev/test, cloud computing, business critical applications, Infrastructure as a Service IaaS","Up to near native","Yes"
"VMware ESX Server 4.0 (vSphere)","Yes, add-on, up to 8 way","Yes","Yes","Virtualization","Server consolidation, service continuity, dev/test, cloud computing","Up to near native","Yes"
"VMware ESX Server 3.0","Yes, add-on, up to 4 way","Yes","Yes","Virtualization","Server consolidation, service continuity, dev/test","Up to near native","Yes"
"VMware ESX Server 2.5.3","Yes, add-on, 2 way","Yes","Yes","Virtualization","Server consolidation, service continuity, dev/test","Up to near native","Yes"
"VMware Fusion","Yes","Yes","Yes","Virtualization","Hobbyist, Developer, Tester, Business workstation","Up to near native","Yes"
"VMware Server","Yes (2-way)","Yes","Yes","Virtualization","Server/desktop consolidation, dev/test","Up to near native","Yes"
"VMware Workstation","Yes (2-way)","Yes","Yes","Paravirtualization (VMI) and virtualization","Technical professional, advanced dev/test, trainer","Up to near native","Yes"
"VMware Player","Yes","Yes","Yes","Virtualization","Technical professional, advanced dev/test, trainer, end user on prebuilt machines","Up to near native","No"
"Wind River hypervisor","No","Yes","Yes","Paravirtualization, hardware assisted virtualization","Embedded, safety critical, secure","Up to near native","Yes"
"Wind River VxWorks MILS Platform","No","Yes","Yes","Paravirtualization, hardware assisted virtualization","Embedded, safety critical, secure","?","Yes"
"Xen","Yes, v4.0.0: up to 128 VCPUs per VM","No","Yes","Paravirtualization and porting or hardware virtualization.","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.","Up to native","Yes"
"XenServer","Yes","Yes","Yes","Paravirtualization and porting or hardware virtualization.","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.","Up to native","Yes"
"XtratuM","Yes","No","Yes","Paravirtualization","Embedded, safety critical, secure","?","Yes"
"z/VM","Yes, both real and virtual (guest perceives more CPUs than installed), incl. dynamic CPU provisioning and reassignment","Yes","Yes, but not required","Virtualization (among first systems to provide hardware assists)","Servers","Near Native","Yes"
"z LPAR","Yes, both real and virtual (guest perceives more CPUs than installed), incl. dynamic CPU provisioning and reassignment; up to 64 real cores","Yes","Yes, but not required","Microcode and hardware hypervisor","Servers","Native: System z machines always run with at least one LPAR","Yes"
"","","","","","","",""
