"Name","Implementation Language","Active; Passive","Model","Typical input","Other input","Typical output"
"GNU AutoGen","C","Active","Tier","Autogen definitions (lists of key-value pair or hierarchical data arranged like C structs), Autogen templates (fixed output plus inline macros for conditional or repetitive emission of code blocks or evaluation of Bourne shell or Scheme expressions)","XML, CGI data","Output determined by template (any language or even plain text); additional support for emitting header guard, certain licenses, option parsers, and finite state machine in C"
"gSOAP","C / C++","","","WSDL specifications","","C / C++ code that can be used to communicate with WebServices. XML with the definitions obtained."
"Iron Speed Designer","C# / VB.NET","Active","Tier","Database schema","CSS","ASP.NET (Full application, including C# code, VB code, XML, Stored Procedures, etc.)"
"Isis","Java pojos","Active","Mixed","Isis Java code: Domain Design","optionally JSON (for layout hints)","Java code: Apache Wicket JAX-RS DataNucleus Apache Shiro"
"Jigy Generator","Java","Active","MVC","Just fill out a SIMPLE form","N/A","A Spring MVC Java Web Application Compatible with Either Eclipse or Netbeans Based on the User's Preferences"
"Jostraca","Java","Active","Tier","Any code","Java","Any code; Java, JSP"
"JCodeBox","Java","","Tier","Java","","Java (Full Web Application)"
"kiss!","C#, VB.Net, SQL","Active","Mixed","Database as Data Model","Templates","C#, VB.Net classes, SQL, Schema Information as comma separated values (*.cs, *.vb, *.sql, *.csv)"
"LayerCake Generator .NET","C#, SMO API, T4 Templating","Active","Mixed","Microsoft SQL Server Database schema","Templates","Visual Studio Solution, SOA Architecture, Application Layers"
"Linx","C#","Active","Tier","Process Design from Linx designer","-",".NET Process (dll) and Windows Service"
"Microsoft Visual Studio LightSwitch","C# / VB.NET","Active","Tier","Database schema","","Complete Silverlight application (Desktop or Web)"
"MinuteProject","Java code","Active; Passive","Mixed","Database WSDL","config, velocity files","Java code: ORM entities, DAO, Webservices, Full application with proven framework stack: JPA"
"NoORM","Java","Active","Mixed","Database schema","Templates","Java classes (Persistence layer with proxy classes for database tables and views, DML code and services for stored procedures and declared queries with support for Oracle)"
"OMS.Ice – T4 Text Template Generator","C#","Active","Mixed","T4 text template, C# or VB","C# partial classes","Any textual output such as C#, VB, C/C++, XML, or any other plain text format"
"OutSystems Platform",".Net","Active","Tier","User defined models based on the OutSystems visual modelling language","Java, C#, Javascript","ASP.Net and JEE"
"PHPRunner","PHP/ASP/C#/VB.NET","Active","Tier","Database schema","PHP, ASPX, HTML, CSS,","PHP, ASP, ASP.NET (Full Web application, including C#, VB.NET, PHP, ASP code, HTML, Javascript, CSS, etc.)"
"Pro*C","","","Inline","SQL in C","","C"
"Radarc Online","C#/Angular.js/Node.js","Active","Mixed","WYSIWYG UI/Data Layer Editor","Templates","User Interface Layer, Services Layer, Business Logic Layer, Data Access Layer, Database, IoC, Test... (Android, iOS, Windows Phone, Windows)"
"Reegenerator","C#, VB.Net, XSD","Active","Mixed","User-defined Templates","Database, XSD, XML, C# or VB.Net Code","C#, VB.Net, SQL, Any other textual language"
"ribosome","Ruby, JavaScript or Python","Active","Mixed","Any format that can be read by Ruby, JavaScript or Python","Code generation script in Ruby, JavaScript or Python","any text document(s)"
"Scalagen","Scala","Passive","Tier","Database","","Scala ORM code"
"Spring Roo","Java","Active","Tier","Java and automatically-introspected project metadata","Shell commands","Java (Full Web Application including Java source, AspectJ source, XML, JSP, Spring application contexts, build tools, property files etc.)"
"T4","","Passive","","T4 Template/Text File","","Any text format such as XML, XAML, C# files or just plain text files."
"TLGen","Java","Active","Mixed","Database schema (Oracle, MySQL, PostgresSQL), XML (domain model UML exported XML)","Import from UML domain model (XML), Import from DB","Java source classes (EJB3 persistence layer, data classes with interfaces. Session Beans, Entity Managers and Entity Bean source classes. Message Beans. Web Services (SOAP, REST). JUnit Test classes.). DB SQLs"
"Umple","Java","Active","Tier","Java, C++, PHP, Ruby with embedded Umple code","Pure Umple code describing associations, patterns, state machines etc.","Java, C++, PHP, Ruby, ECcore, Umlet, Yuml, Textuml, JSON, Papyrus XMI"
"Velocity apache","Java","Passive","Tier","Any code","Java","Java"
"X2X","C++","Active","Mixed","Any textual format","CSV export from Excel-Sheet","Any textual language"
"XACT X4MR","C","Passive","","Language_A Source,
 Language_A-to-Language_B Transform Rules","CHILL, CMS2, FORTRAN, COBOL, JOVIAL, PASCAL, PL/1, PLM86","Compilable Language_B Source; 
 Application_A Documentation; 
Application_B Documentation"
"XDocLet","","Active","Munger","JavaDoc","","EJB support beans"
"for Visual Studio","C#, XSL, XSD","Active","Mixed","User-defined models, XML","Templates, Import from DB","User Interface (ASP.NET, WPF, Silverlight), Service Layer (WCF), Business Layer (EF), DAL, DB scripts, Config files, VS project files, Xomega Framework objects"
"ZumCoder/MDA","PHP","Passive","Mixed","XSD, DBML, Database Schema(Mysql,SqlServer,PostegreSQL,SQLite),HTML forms,PHP class and (ZML ""ZumCoder Model Language"", a XML define structure","Templates","Any textual language, depends upon your template code, you can write your own template to outputs the language of your preference"
