"Microsoft Lync","Microsoft Corporation","2005","Single-protocol","2013 (October 2, 2012; 2 years ago)","Clickwrap"
"Miranda IM","Miranda IM project","2000-02-06","Multi-protocol","0.10.32 (17 May 2015; 25 days ago)","GPL"
"MySpaceIM","MySpace","2006-05-09","Single-protocol","1.0.754.0 (February 7, 2008; 7 years ago)","Clickwrap"
"naim","Daniel Reed","1998-10-05","Multi-protocol","0.11.8.3.1 (July 9, 2007; 7 years ago)","GPL"
"Nimbuzz","Evert Jaap Lugt","2006","Multi-protocol","Android: 3.1.1
 (1 September 2014; 9 months ago) 

iOS: 3.3.0
 (28 April 2014; 13 months ago) 

Blackberry OS: 4.0
 (10 December 2013; 17 months ago) 

Windows Phone: 1.1.8.1
 (16 April 2014; 13 months ago)","Clickwrap"
"Palringo","Palringo Ltd","2006","Single-protocol","*Windows: 2.7.9 (July 4, 2012; 2 years ago)
Windows Mobile: 2.6.6 (March 30, 2012; 3 years ago)
iOS: 4.12 (August 6, 2012; 2 years ago)
Android: 5.2.8 (August 1, 2012; 2 years ago)
OS X: 4.6.4 (July 24, 2012; 2 years ago)
Windows Phone: 0.11.0.0 (February 14, 2012; 3 years ago)","Clickwrap"
"Paltalk","","1998-06","Multi-protocol","Version 10.2 Build 455","Clickwrap"
"Pidgin","Mark Spencer","1998-11","Multi-protocol","2.10.11 (November 23, 2014; 6 months ago)","GPL"
"Psi","Justin Karneges","2001","Single-protocol","0.15 (October 3, 2012; 2 years ago)","GPL"
"Qnext","Qnext Corp.","2010-06","Multi-protocol","*Windows, Macintosh, Linux: 4.0.4 (June 2010; 5 years ago)
iOS: 2.01.009.0000 (October 16, 2012; 2 years ago)
Mobile Web: 2.0.1.55 (June 2010; 5 years ago)","Clickwrap"
"QIP","Ilgam Zyulkorneev","2004","Multi-protocol","QIP 2012 version 4.0 (build 8866) (27 November 2012; 2 years ago)","Clickwrap"
"QuteCom","QuteCom","2004","Multi-protocol","2.2.1 (June 22, 2011; 3 years ago)","GPL"
"Sicher","SHAPE GmbH","June 2014","Single-protocol","1.1","Freeware"
"Signal","Open Whisper Systems","2014-07","Single-protocol","iOS 2.0.3 (April 7, 2015; 2 months ago)","GPLv3"
"Skype","Skype Technologies, a subsidiary of Microsoft Corporation","2003","Single-protocol","  List of releases","Freemium (Adware)"
"surespot","2fours","2013","Single-protocol","*iOS: 6.0
Android: 2.3","GPLv3"
"Telegram","Telegram Messenger LLP","2013","Single-protocol","Android 2.8.1 (April 30, 2015; 42 days ago






) 

iOS 2.12 (April 8, 2015; 2 months ago






) 

Windows Phone 1.11.0.0 (May 29, 2015; 13 days ago






) 

Web application 0.4.0 (February 16, 2015; 3 months ago






) 

OS X 1.50 (April 10, 2015; 2 months ago






) 

Desktop 0.8.7 (April 24, 2015; 48 days ago






)","GPLv2"
"Tencent QQ","Tencent Holdings","1999-02","Single-protocol","See current releases","Clickwrap"
"TextSecure","Open Whisper Systems","2010-05","Single-protocol","Android  2.16.4 (June 2, 2015; 9 days ago)","GPLv3"
"Threema","Threema GmbH","2012-12","Single-protocol","iOS
2.3.1 (May 11, 2015; 31 days ago)  








Android
2.3 (April 16, 2015; 56 days ago)  









Windows Phone
1.2.1 (May 4, 2015; 38 days ago)","Proprietary commercial software"
"Tkabber","Alexey Shchepin","2002-07-03","Single-protocol","1.1.2 (May 10, 2015; 32 days ago)","GPL"
"Tox","Tox Foundation","2013","Single-protocol","","GPLv3"
"Trillian","Cerulean Studios","2000-07-01","Multi-protocol","Windows:

5.6 (build 5) (May 27, 2015; 15 days ago) 

Mac OS X:

3.2 (build 4) (May 27, 2015; 15 days ago) 

Linux:

2.0 (build 4) (April 3, 2015; 2 months ago) 

Android:

3.1.0.9 (May 21, 2015; 21 days ago) 

iOS:

3.0.0.34 (May 1, 2015; 41 days ago) 

BlackBerry:

1.1.0.45 (October 26, 2011; 3 years ago) 

Web-Based:

4.1.0.7d (May 11, 2015; 31 days ago) 

Server:

1.1 (build 23) (April 10, 2015; 2 months ago)","Clickwrap"
"Upptalk","Upptalk","2010","Dual-protocol","iOS 2.4 (November 26, 2014; 6 months ago) 

Android 2.0.2 (February 12, 2014; 15 months ago) 

Windows Phone 7.x 1.0.1.7 (September 12, 2013; 20 months ago) 

Windows Phone 8.x 1.0.0.4 (September 18, 2013; 20 months ago) 

BlackBerry OS 1.0.1 (May 31, 2013; 2 years ago) 

Kindle Fire 2.0 (December 19, 2013; 17 months ago) 



Category:Upptalk","Freeware"
"Viber","Talmon Marco, Igor Megzinik, Sani Maroli and Ofer Smocha","2010-12-02","Single-protocol","Android:
5.3.0.2339 (April 7, 2015; 2 months ago








 ) 
iOS:
5.3.2 (April 17, 2015; 55 days ago








 ) 
BlackBerry OS:
3.1.16 (November 19, 2013; 18 months ago








 ) 
Windows Phone:
4.5.0.0 (March 31, 2015; 2 months ago







 )","Freemium"
"WeChat","Tencent Holdings","2011-01","Single-protocol","iOS 6.1.1 (February 9, 2015; 3 months ago









) 

Android 6.2 (June 3, 2015; 8 days ago


) 

Windows Phone 6.0.2.1 (February 5, 2015; 4 months ago


) 

Symbian V3 4.2 (February 4, 2013; 2 years ago


) 

Symbian V5 4.2 (January 17, 2013; 2 years ago



) 

BlackBerry OS 3.6 (May 30, 2014; 12 months ago


) 

BlackBerry 10 1.0.1.16 (July 30, 2013; 21 months ago


) 

OS X 1.2 (November 10, 2014; 6 months ago



) 

Windows 1.1 (May 6, 2015; 36 days ago



)","Clickwrap"
"WhatsApp","WhatsApp Inc.","2009-08","Single-protocol","Android:
2.12.36 (April 14, 2015; 58 days ago) 

BlackBerry:
2.11.2356 (January 21, 2015; 4 months ago) 

iOS:
2.11.16 (February 4, 2015; 4 months ago) 

Symbian:
2.11.955 (March 6, 2015; 3 months ago) 

Nokia S40 devices:
2.12.68  
Windows Phone:
2.11.670.0 (February 25, 2015; 3 months ago)","Proprietary"
"Wickr","Wickr Inc.","2012-06","Single-protocol","Android:
2.4.6 (May 26, 2015; 16 days ago) 

iOS:
2.5.3 (April 27, 2015; 45 days ago) 

Windows:
2.3.2  

Mac OS X:
2.3.2  

Linux:
2.3.2","Proprietary"
"Windows Live Messenger","Microsoft Corporation","1999-07","Dual-protocol","2012 (v16.4.3508.205) (April 8, 2013; 2 years ago)","Clickwrap"
"Xfire","Xfire Inc.","2004","Dual-protocol","1.155 (March 20, 2013; 2 years ago)","Clickwrap"
"Yahoo! Messenger","Yahoo!","1999-06-21","Dual-protocol","*Windows: 11.5.0.228
OS X: 3.0.1
Unix: 1.0.4","Clickwrap"
"Zephyr","Project Athena","1987","Single-protocol","2.0","MIT"
"Client","Author, creator","First public release date","Type","Latest stable version","License"
