"Research Networking Tool","Data Source / Infeed Functionality","Auto Ingest?","Linked Open Data?","Data Export Types"
"Elsevier's SciVal","Scopus, the largest abstract and citation database of peer-reviewed research literature publication and usage data and ScienceDirect usage data","Yes","No","CSV, PDF, PNG, JPEG"
"Epernicus Solutions & Epernicus Network","Data entered by applicant","No","Unknown","Unknown"
"ERIM Member Profile System (ERIM MIS)","ERIM MIS database, Erasmus Publication Repository, Oracle portal","Yes","Unknown","Unknown"
"EUREKA! Enhancing Student Research","Information about  faculty research interests","No","Unknown","Unknown"
"Expertise @ Maryland","Central university faculty database","Yes","Unknown","Unknown"
"Faculty Profile System","Manually entered data about the faculty (faculty can enter, a proxy can enter, or designated staff work on maintaining profiles)","No (Faculty status verified by comparison with UC Irvine HR's Academic Personnel system)","Unknown","Unknown"
"Faculty Research Information Profile (FRIP)","Discontinued. Work on this system ceased; moved on to developing Digital Vita","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","FSP Database (2007–2008)","Yes","Unknown","Unknown"
"GENIUS","InfoEd proprietary grant funding databases","Yes (But only of InfoEd database data. Faculty profile information must be entered manually.)","Unknown","Unknown"
"Google","Institution's directory, news releases, and other institutional websites","Yes","Yes","Many types, depending on the format of the file retrieved."
"HUBzero","Comprehensive portal to support virtual research organizations including modular Web 2.0 tools, modeling and simulation tools, computational integration, identity management, workflow, personal profile management, data management, education","Yes","Yes","Unknown"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","PubMed","Yes","Unknown","Unknown"
"i2iConnect","Listings of industry licensing representatives categorized by product and disease categories with matchmaking and collaborator discovery features","Yes","Unknown","Unknown"
"InCites","Thomson Reuters Web of Science, ESI, JCR","No","No","XML, .mbb, XLS"
"INDURE (Indiana Database for University Research Expertise)","Faculty-entered information about research, faculty home pages","Yes? (Partial?)","Unknown","Unknown"
"Lattes Database","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","Medical School Faculty database, PubMed, InfoEd, Northwestern's  eIRB database","Yes","Yes","Microsoft Word, Excel, PDF"
"LinkedIn","Information entered manually by user","No","Unknown","Unknown"
"Life Science Network","PubMed / Information entered manually by user.","No","Yes","CSV (for some modules)."
"Loki","Local Medline, PubMed, local NSF award database, local NIH RePORTER database, campus directory services","Yes (Partial)","Unknown","Unknown"
"McCormick Collaboration Visualization Tool","Thomson Reuters Web of Science","Yes","Unknown","Unknown"
"MizzouLinks","Information collected from interviews and imported from a few institutional systems","No","Unknown","Unknown"
"MyScienceWork","Information input by user","No","Unknown","Unknown"
"OSU:pro","OSU systems","Yes","Unknown","Unknown"
"Pivot","Combines editorially created data on funding opportunities and profiles.  Profile data sources from publicly available university organization and faculty member/researcher information, user-generated data, PubMed, Agricola, ERIC, and ProQuest citation databases, indexed faculty/researcher webpages.","Yes (for all citation data from sources listed in DataSource. Profiles editorially created, but user-generated profiles also included)","No","Unknown"
"Profiles Research Networking Software","HR systems, PubMed, NIH RePORTER, commercial sources of publication data, institution-provided and user managed data","Yes","Yes","XML, RDF, SPARQL"
"REACH NC Life Science Experts Visualization Tool","SciVal Experts, RAMSES","Yes","Yes","RSI, CSV, Web-service API"
"Research Accelerator","Information entered by individual members","No","Unknown","Unknown"
"ResearcherID","Manually entered  biographical and bibliographical information. Members can search Web of Science, Web of Knowledge, and other online collections, or manually enter publication data. Accounts can be created by individuals or by administrators using a web service.","Yes (Partial; profiles created by administrators are pre-populated for individuals to review.)","No","None"
"SciENcv","Information that would normally be found in a curriculum vitae or biosketch","Yes","Unknown","Uses open data exchange standards"
"Symplectic Elements","Custom import from any internal data source via API, out of the box automatic bibliographic import (subject to subscriptions where appropriate) from arXiv, Cinii, CrossRef, DBLP, Europe PMC, figshare, PubMed, RePeC, Scopus, Web of Science, with more planned. Secure ORCID integration also available. In-feed from HR/Identity systems, internal grant databases. Integration with all major repository technologies.","Yes Through integrated portals like VIVO and Profiles RNS","Yes Source for linked data","CSV, CERIF XML, MS Word, Excel, PDF (APA6), ATOM/XML web services, EndNote/Reference Manager, BibTex, RDF (Linked Data),
various government assessment submission formats"
"VIVO","PubMed, NIH RePORTER,  PeopleSoft, internal HR & administrative databases, Scopus (with institutional license), Web of Knowledge (being developed); emphasis on verified data sources, many many others being ingested at various institutions.","Yes (manual data entry possible, too)","Yes","RDF, GraphXML, CSV file"
"Yaffle","Memorial University systems","Yes","Unknown","Unknown"
