" ","Selection editing","Layers","Histogram","Scripting","HDR","Retouching","Resizing","Noise removal","Lens correction","Sized Printing","Sharpening","Color correction","Image library","Plug-in support","Non-destructive editing"
"Corel Photo-Paint","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Cosmigo Pro Motion","Yes","No","No","No","No","Partial","Yes","No","No","?","?","?","?","?","?"
"darktable","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"Deluxe Paint","No","Partial","Partial","Yes","No","Yes","Yes","No","No","?","No","No","?","No","?"
"DigiKam","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Erdas Imagine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"Fatpaint","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","?"
"Fotografix","Yes","Yes","No","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","?"
"GIMP","Yes","Yes","Yes","Yes","Via plug-in","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"GIMPshop","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"GraphicConverter","Yes","Partial","Yes","Yes","No","Yes","Yes","Yes","Via plug-in","Yes","Yes","Yes","Yes","Yes","?"
"HDR PhotoStudio","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","?"
"Helicon Filter","Partial","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?"
"iPhoto","No","No","Yes","Partial","No","Yes","Partial","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"IrfanView","Yes","No","Yes","No","No","Via plug-in","Yes","No","No","?","Yes","Yes","?","Yes","?"
"Kolourpaint","Yes","No","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Krita","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No"
"MacPaint","Yes","No","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Adobe Fireworks","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","?"
"Microsoft Office Picture Manager","Partial","No","No","No","No","No","Yes","No","No","Yes","No","?","No","No","?"
"Microsoft Paint","No","No","No","No","No","Partial","Yes","No","No","No","No","No","No","No","No"
"Microsoft Photo Editor","Yes","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","No","?"
"Mootif","Partial","Yes","No","No","No","Yes","No","No","Partial","No","No","?","No","No","?"
"OpenCanvas","Yes","Yes","Yes","No","?","Yes","Yes","No","No","Yes","Yes","Yes","No","?","?"
"Paint.NET","Yes","Yes","Yes","Partial","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No"
"PC Paintbrush","Yes","No","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Photofinish","Yes","No","No","No","No","?","?","?","?","?","?","?","?","?","?"
"Photogenics","Yes","Yes","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?"
"PhotoLine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"PhotoPerfect","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Photo Raster","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","?"
"Picasa","No","No","Yes","No","Partial","Partial","Partial","No","No","Yes","Yes","Yes","Yes","No","Yes"
"PicMaster","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","?"
"PixBuilder Photo Editor","Yes","Yes","Yes","No","No","?","?","?","?","?","?","?","?","?","?"
"Pixelmator","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Pixia","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","?","?","Yes","?"
"Project Dogwaffle","?","Commercial version","Yes","Partial","No","Yes","Yes","?","?","?","Yes","Yes","?","Yes","?"
"QFX","Yes","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","Yes","?"
"RawTherapee","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Serif PhotoPlus","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","?"
"Side Effects Houdini","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","?"
"Tux Paint","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","?"
"TVPaint","Yes","Yes","Yes","Yes","No","Yes","Yes","?","?","?","?","Yes","?","Yes","?"
"Ulead PhotoImpact","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Ultimate Paint","Yes","No","Yes","No","No","?","?","?","?","?","?","?","?","?","?"
"WinImages","Yes","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?","?"
"Xara Photo & Graphic Designer","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Yes","Yes","Yes"
"XnView","No","Partial","Partial","Yes","No","No","Yes","Yes","?","?","Yes","Yes","Yes","Yes","No"
"XPaint","Yes","Partial","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Partial","Yes","No"
"Zoner Photo Studio","Yes","Partial","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
" ","Selection editing","Layers","Histogram","Scripting","HDR","Retouching","Image scaling","Noise removal","Lens correction","Sized Printing","Unsharp masking","Color correction","Image library","Plug-in support","Non-destructive editing"
