"","RAW imports","BMP","GIF","JPEG","JPEG 2000","HD Photo","PNG","TIFF","PSD","PSP","XCF","PCX"
"Erdas Imagine","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Import"
"Fatpaint","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"Fotografix","Partial","Yes","Yes","Yes","No","No","Yes","Yes","Import only","No","Import only","Import only"
"GIMP","Yes","Yes","Yes","Yes","Yes","Via plug-in","Yes","Single page only","Yes","Yes","Yes","Yes"
"GIMPshop","?","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GrafX2","No","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes"
"GraphicConverter","Partial","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"HDR PhotoStudio","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No"
"Helicon Filter","Yes","Yes","Import","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"iPhoto","Yes","?","?","Yes","?","No","Yes","Yes","Yes","?","?","Yes"
"IrfanView","Via plug-in","Yes","Yes","Yes","Via plug-in","Via plug-in","Yes","Yes","Yes","Yes","No",""
"Kolourpaint","?","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Import","Yes"
"Krita","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","Yes","Import"
"MacPaint","No","?","No","No","No","No","No","No","No","No","No","No"
"Microsoft Office Picture Manager","?","Yes","Yes","Yes","No","","Yes","First page only","No","No","No","Yes"
"Microsoft Paint","No","Yes","Partial","Yes","No","No","Partial","Yes","No","No","No","No"
"Microsoft Photo Editor","No","Yes","Yes","Yes","No","","Yes","No","No","No","No","Import"
"Mootif","?","No","Import only","Yes","Import only","","Yes","Import only","No","No","No","No"
"OpenCanvas","?","Yes","No","Yes","No","No","Yes","No","Yes","No","No","?"
"Paint.NET","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Via plug-ins","Partial","No","No","Yes"
"PC Paintbrush","?","No","Yes","No","No","","No","Yes","No","No","No","Yes"
"Photofinish","?","Yes","Yes","Yes","No","","No","Yes","No","No","No","Yes"
"Photogenics","?","Yes","Yes","Yes","?","","Yes","Yes","Yes","?","?","Yes"
"PhotoLine","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","?","No","No"
"PhotoPerfect","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No layer support","Yes","No","Yes"
"Photo Raster","No","Import","Import","Yes","No","No","Yes","Import","No","No","No","Import"
"Picasa","Yes","Import","Import","Yes","No","","Import","No","Import","No","No","No"
"PicMaster","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes"
"PixBuilder Photo Editor","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No","?"
"Pixelmator","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes"
"Pixia","?","Yes","No","Yes","No","","Yes","Yes","Yes","No","No","No"
"PMview","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes"
"Project Dogwaffle","?","Yes","No","Yes","No","","No","Yes","No","No","No","No"
"QFX","?","Yes","Yes","Yes","No","No","?","Yes","Yes","No","No","?"
"RawTherapee","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No"
"Seashore","?","Partial","Partial","Yes","Partial","","Yes","Yes","?","?","Yes","?"
"Serif PhotoPlus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Tux Paint","No","Yes","Import","Import","No","No","Yes","No","No","No","No","No"
"TVPaint","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","Yes"
"Ulead PhotoImpact","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Partial","Import","No","Yes"
"Ultimate Paint","?","Yes","Yes","Yes","No","","Yes","No","No","No","No","Yes"
"WinImages","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","?"
"Xara Photo & Graphic Designer","Yes","Yes","Yes","Yes","Yes","Import only","Yes","Yes","Yes","No","No","Yes"
"XnView","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Import","Yes"
"XPaint","No","Yes","Yes","Yes","No","","Yes","Yes","No","No","No","No"
"Zoner Photo Studio","Yes","Yes","Yes","Yes","Import only","Yes","Yes","Yes","Import only","Import only","No","Yes"
"","RAW imports","BMP","GIF","JPEG","JPEG 2000","HD Photo","PNG","TIFF","PSD","PSP","XCF","PCX"
