"Distribution","Founder","Maintainer","Initial release year","Current stable version","Security updates (years)","Release date","System distribution commitment","Forked from","Target audience","Cost"
"ESSPEE","ESSPEE Project","Sourceforge.net","2012","?","?","?","X","Ubuntu","penetration testing, forensics, security","Gratis"
"Fedora","Fedora Project","Fedora Project","2003","22","?","2015-05-26","Fedora Licensing Guidelines","","general","Gratis"
"Freespire","Lindows.com, Inc.","Linspire, Inc.","2002","?","?","?","X","Debian","desktop","Gratis"
"Gentoo Linux","Daniel Robbins","Gentoo Foundation, Inc.","2002","?","?","?","Gentoo Social Contract","","general","Gratis"
"gNewSense","Brian Brazil and Paul O'Malley","Sam Geeraerts with sponsorship from the FSF","2006","3.1 (Parkes)","?","2014-02-09","100% Free: GNU FSDG","Debian","general, server","Gratis"
"gnuLinEx","Regional Government of Extremadura","dev team","2002","?","?","?","X","Debian","desktop","Gratis"
"Grml","Michael Prokop","The Grml Team","2005","?","?","?","X","Debian","live, maintenance, security, network, forensic, accessibility","Gratis"
"Instant WebKiosk","Marco Buratto","Binary Emotions","2012","?","?","?","X","Debian","web kiosks, digital signage, personal web navigation","?"
"Kali Linux","Max Moser, Mati Aharoni, Martin J. Muench","Remote-Exploit","2013","?","?","?","X","Debian","auditing, forensic, security, network","Gratis"
"Knoppix","Klaus Knopper","dev team","2000","?","?","?","X","Debian","live","Gratis"
"Korora","Christ Smart","Dev Team","2005","20","?","2014-01-10","X","Fedora","desktop","Gratis"
"LibreCMC/LibreWRT","LibreWRT team","LibreWRT team","2010","1.3 (LibreWRT was at 2.0)","?","2014-12-23","100% Free: GNU FSDG","LibreWRT","embedded system","Gratis"
"Linux Mint","Clement Lefebvre","dev team","2006","17.1","?","2014-11-29","X","Debian, Ubuntu","desktop","Gratis"
"Mageia","Mageia Community","mageia.org","2010","4.1","1","2014-06-20","X","Mandriva Linux","general","Gratis"
"Mandriva Linux","Mandrakesoft S.A.","Mandriva S.A.","1998","?","?","?","X","Red Hat Linux","general","?"
"MEPIS","Warren Woodford","MEPIS LLC","2003","?","?","?","X","Debian","desktop, server","Gratis"
"Musix GNU+Linux","Musix team","Musix team","2008","3.0.1","?","2014-03-13","100% Free: GNU FSDG","Debian","multimedia","Gratis"
"Netrunner","Blue Systems","dev team","2009","?","?","?","X","Debian, Ubuntu, Kubuntu","desktop","Gratis"
"Novell Open Enterprise Server","Novell","Novell, Inc. dev team","2003","?","?","?","X","SUSE Linux Enterprise Server","server","Commercial"
"OpenELEC","Stephan Raue, OpenELEC Team","OpenELEC Team","2011","?","?","?","X","","multimedia","Gratis"
"openSUSE","SUSE Linux, Novell","openSUSE Project","2006","13.2","~1.5 years","2014-11-04","X","","general, desktop","Gratis"
"OpenWrt","?","OpenWrt team","2007","?","?","?","X","","embedded system","Gratis"
"Oracle Linux","Oracle Corporation","Oracle Corporation","2006","2012","?","2014","X","Red Hat Enterprise Linux (RHEL)","server","Gratis"
"Parabola GNU/Linux-libre","Parabola Hackers","Parabola Hackers","2009","2014.10.07","?","2014-10-07","100% Free: GNU FSDG followed in Parabola GNU/Linux-libre Social Contract","Arch Linux","general","Gratis"
"Pardus","Scientific and Technological Research Council of Turkey (TÜBİTAK)","TÜBİTAK","2005","?","?","?","X","","general","Gratis"
"Parsix","Alan Baghumian","Parsix Project","2005","?","?","?","X","Debian","desktop","Gratis"
"PCLinuxOS","Bill Reynolds","dev team","2003","?","?","?","X","PCLinuxOS","desktop","Gratis"
"Pentoo","Michael Zanetta, Rick Farina, Jens Pranaitis","Pentoo","2005","?","?","?","X","Gentoo Linux","auditing, security","?"
"Porteus","Fanthom","Porteus","2010","?","?","?","X","Slackware","lightweight, portable","Gratis"
"Puppy Linux","Barry Kauler","Puppy Foundation","2003","?","?","2015-02-05","X","","portable, lightweight","Gratis"
"Qubes OS","Joanna Rutkowska","Invisible Things Lab","2012","2.0 (and R3 rc1)","?","2014-09-26","X","Xen and Fedora","Security by Compartmentalization, desktop","Gratis"
"Red Hat Enterprise Linux (RHEL)","Red Hat","Red Hat","2002","?","?","?","X","Red Hat Linux, Fedora","server, workstation","Commercial"
"Red Hat Linux","Red Hat","Red Hat","1995","?","?","?","X","","server, workstation","Gratis"
"Rocks Cluster Distribution","UCSD Supercomputing Center, Clustercorp","UCSD Supercomputing Center, Clustercorp","2000","?","?","?","X","Red Hat Linux","server, workstation","?"
"Sabayon Linux","lxnay Design","dev team","2005","?","?","?","X","Gentoo Linux","general","Gratis"
"Salix OS","Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder","Salix team","2009","?","?","?","X","Slackware","general","Gratis"
"Scientific Linux","CERN, Fermilab","dev team","2004","6.5","?","?","X","Red Hat Linux, Red Hat Enterprise Linux (RHEL)","server, workstation","Gratis"
"Slackware","Patrick Volkerding","dev team","1993","14.1","?","2013-11-07","X","Softlanding Linux System (SLS)","general","Gratis"
"Slax","Tomas Matejicek","Tomas Matejicek","2002","?","?","?","X","Slackware","live","Gratis"
"SliTaz GNU/Linux","Christophe Lincoln","dev team","2008","?","?","?","X","","portable","Gratis"
"SolydXK","Arjen Balfoort","dev team","2013","?","?","?","X","Debian","desktop","Gratis"
"Source Mage GNU/Linux","Ryan Abrams, Eric Schabell","dev team","2002","?","?","?","Source Mage Social Contract","Sorcerer","general","Gratis"
"SUSE Linux","SUSE Linux, Novell","Novell, Inc. dev team","1994","?","?","?","X","Slackware, Jurix","workstation, server","Gratis"
"Tails","?","?","2009","1.4","?","2015-05-12","X","Debian","security-focused aimed for anonymity and privacy","Gratis"
"Tiny Core Linux","Robert Shingledecker","Team Tiny Core","2009","?","?","?","X","Tiny Core Linux","portable","Gratis"
"Tor-ramdisk","Anthony G. Basile","dev team","2008","?","?","?","X","Gentoo Linux Embedded, uClibc","Tor server","?"
"Trisquel GNU/Linux","Rubén Rodríguez Pérez (quidam)","Rubén Rodríguez Pérez (quidam)","2005","7.0","5 years","2014-11-03","100% Free: GNU FSDG","Ubuntu LTS","desktop","Gratis"
"Ubuntu and Derivatives","Canonical Ltd.","Canonical Ltd.","2004","15.04","Standard releases – 9 months; LTS releases – 5 years","2015-04-23","X","Debian","general, server, desktop","Gratis"
"Univention Corporate Server","Univention GmbH","Univention GmbH","2004","3.2-2","?","2014-05-15","X","Debian","(small business) server","?"
"Ututo","Diego Saravia, Daniel Olivera","UTUTO dev team","2000","XS 2012","?","2012-04-27","100% Free: GNU FSDG","Gentoo Linux","general","Gratis"
"VectorLinux","Robert S. Lange","dev team","1999","?","?","?","X","Slackware","desktop","?"
"Webconverger","Kai Hendry","Webconverger Limited","2007","?","?","?","X","Debian","Kiosk software, digital signage","Gratis"
"XBMCbuntu","The XBMC Project","Team-XBMC","2008","?","?","?","X","Debian, Ubuntu","multimedia","Gratis"
"Zentyal","eBox Technologies","eBox Technologies","2005","?","?","?","X","Debian, Ubuntu","Small Business Server","?"
"Zenwalk","Jean-Philippe Guillemin","dev team","2004","?","?","?","X","Slackware","general","?"
"","","","","","","","","","",""
