"Application","Latest release date  
and version","Developed by","Platforms","Mainly Used For","License"
"solidThinking","2014 
v 2014","solidThinking","Mac OS X, Microsoft Windows","Modeling","Proprietary"
"SolidWorks","2014-09-09 
v 2015","Dassault systems","Microsoft Windows","Computer Aided Design","Proprietary"
"SpaceClaim","2014-11-19 
v 2015","SpaceClaim Corporation","Microsoft Windows","Computer Aided Design","Proprietary"
"Swift 3D","2009-06-03 
v6.0 (Final Release)","Electric Rain","Mac OS X, Microsoft Windows","Modeling, Animation","Proprietary"
"TopSolid","7.9 
2014","Missler Software","Microsoft Windows","Computer Aided Design/ Computer Aided Manufacturing","Proprietary"
"trueSpace","2009-05-25 
v 7.61","Caligari Corporation","Microsoft Windows, AmigaOS","Animation, Modeling","Proprietary"
"E-on Vue","v 2014","E-on Software","Mac OS X, Microsoft Windows","Animation, Landscape Modeling, Lighting","Proprietary"
"Verto Studio 3D","2012-10-9 
v 1.3.1","Michael L. Farrell","Mac OS X, iOS","Mobile Modeling, Texture Mapping, Lighting","Proprietary"
"ZBrush","2015-01-29 
v 4R7","Pixologic","Mac OS X, Microsoft Windows","Modeling, Texturing, Lighting, Sculpting (the deformation of the model), Rendering","Proprietary"
"Wings3d","2014-04-14 
1.5.3","Dan Gudmundsson (maintainer)","Mac OS X, Microsoft Windows, BSD, Linux","Modeling, Sculpting (the deformation of the model), UV mapping","BSD"
