"","Description","Creator","First public release date","Latest stable version","Software license"
"GraphicConverter","Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins","Thorsten Lemke","1992","6.6.1","Proprietary"
"GraphicsMagick","Commandline image converter and editor","GraphicsMagick Group","2002","1.3.15","MIT"
"gThumb","Image viewer and organizer for the GNOME desktop environment","Paolo Bacchilega","?","3.0.1","GPL3"
"HDR PhotoStudio","HDR (High Dynamic Range Editor) with human vision imaging model","Unified Color","Oct 2009","2.15.37","Proprietary"
"Helicon Filter","Advanced image editor with a simplified tabbed interface","Helicon Soft Ltd.","August 2004","5.0.28","Proprietary"
"ImageJ","Image processing program developed at the National Institutes of Health.","Wayne Rasband (NIH)","1997","1.46m","Public Domain"
"ImageMagick","Command line software suite for displaying, converting, and editing raster image files","ImageMagick Studio LLC","?","6.7.7-7","Apache 2.0"
"iPhoto","Image organizer and basic editor for OS X","Apple Inc.","2002","9.6","Proprietary"
"IrfanView","Image and video viewer with basic editing functions","Irfan Skiljan","1996","4.38","Freeware"
"Kolourpaint","","KDE","2004","1.2.2","GPL"
"Krita","Digital painting oriented free and open source raster graphic editor with vector support. KDE/Calligra based.","KDE","2005","2.8.7","GPL"
"LazPaint","Free multiplatform layered image editor","circular","2011","6.2","GPL"
"MacPaint","Obsolete basic editor","Bill Atkinson","1984","2.0","Proprietary"
"Microsoft Office Picture Manager","Basic image editor","Microsoft","?","?","Proprietary"
"Microsoft Paint","Basic graphic creator and editor packaged with Microsoft Windows operating systems","Microsoft","1985","6.1","Proprietary"
"Microsoft Photo Editor","Obsolete basic image editor for Windows","Microsoft","?","3.01","Proprietary"
"Mootif","Online JavaScript image editor with a few functions","mootif.com","May, 2006","1.0","Proprietary"
"MyPaint","Digital painting Application","Martin Renold","March 12, 2005","1.1.0","GPL2"
"OpenCanvas","","Portalgraphics","?","4","Proprietary"
"paint.net","Freeware image editor and graphics creator based on the .Net framework","Rick Brewster, et al.","May 6, 2004","4.0.5 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP)","Freeware"
"PC Paintbrush","Obsolete basic editor","ZSoft Corporation","1984","5","Proprietary"
"Pencil (software)","2D graphical animation software.","Pascal Naidon","?","0.4.4","GPL"
"Phatch","Editor for batch processing digital graphics and photographs.","Stani Michiels","?","0.2.7","GPL"
"Photofinish","","ZSoft Corporation","1993","2","Proprietary"
"Photogenics","Made to create 32-bit HDRs","Idruna Software Inc.","1995","HDR 7.0","Proprietary"
"PhotoLine","Image editor with some advanced features","Computerinsel (Germany)","1995","17.10","Proprietary"
"PhotoPerfect","Image editor with some advanced features","Arcadia Software AG, Joachim Koopmann Software","2002","2.9","Proprietary"
"Photo Raster","Advanced online photo editor","David Levinsky","2012","0.9","Proprietary"
"Picasa","Efficient image organizer with basic editing tools, other image effects","Google","2002","3.9.0","Freeware"
"PicMaster","Has 300 filter effects, slide show, poster printing, mosaics, true 3D, more","Alexander Sabov","December 1999","4.03","Proprietary"
"Pinta","Mid-level Free and Open Source raster graphics editor, based on Paint.Net","Jonathan Pobst","February 7, 2010","1.5","MIT"
"PixBuilder Photo Editor","","WnSoft Graphic Software","June 2005","1.31","Proprietary"
"Pixelmator","Image editor and graphics creator for OS X","Pixelmator Team ltd.","September 25, 2007","3.0","Proprietary"
"Pixen","Pixel art and sprite editor for OS X","Open Sword Group","?","3.1b2","MIT"
"Pixia","Originally designed for Anime/Manga art.","Isao Maruoka","1998","4.70d","Proprietary"
"PMview","Image viewer with basic editing functions","Peter Nielsen","1997?","3.76 (2014)","Proprietary"
"Project Dogwaffle","Dan Ritchie retired but others continue active development","Dan Ritchie","1997 (?)","2011 (7.0) (1.2 available as freeware)","Proprietary"
"QFX","Mature and complete image editing package","Ron Scott","~1990","8","Proprietary"
"Rawstudio","Raw image processor.","Anders Brander & Anders Kvist","?","2.0","GPL 2"
"RawTherapee","Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras.","Gabor Horvath","2006-09-21","4.0.11","GPL"
"Seashore","Basic counterpart to GIMP, using its XCF format; full support for a few graphics formats","Mark Pazolli","June 2007","0.1.9","GPLv3"
"Serif PhotoPlus","Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use","Serif","","X5","Proprietary"
"Shotwell","Image organizer for GNOME","Yorba Foundation","June 26, 2009","0.12.3","LGPL 2.1"
"Tux Paint","Drawing program for young children.","Bill Kendrick","June 16, 2002","0.9.21","GPL"
"TVPaint","2D animation software","Herve ADAM","June 16, 1991","9.5.11","Proprietary"
"UFRaw","Raw image format processor","Udi Fuchs","?","0.18","Free"
"Ulead PhotoImpact","","Ulead Systems","?","12","Proprietary"
"Ultimate Paint","Basic graphics editor based on Deluxe Paint","Joseph Ladanyi, Daniel Szabo","1998","2.88","Proprietary"
"WinImages","Animation-centric","Black Belt Systems","?","7.5","Proprietary"
"Xara Photo & Graphic Designer","Graphic design program including photo editing and vector illustration tools","Xara","1995 (Windows)","9","Proprietary"
"XnView","Cross-platform image viewer used for converting, organising and editing graphical & video files.","Pierre-emmanuel Gougelet","1998 (1.06)","2.20 (Windows)/0.64 (Linux, Mac OS X)","Proprietary"
"XPaint","Simple Drawing program for Unix/X11 with Xaw3d widgets","David Koblas, Torsten Martinsen, Jean-Pierre Demailly","1993","2.8.8","GPL"
"Zoner Photo Studio","All-in-one editor package","Zoner Inc.","?","11.0 build 8","Proprietary"
"","","","","",""
