"Client","Number of features included","Toolkits or SDKs","File transfer","Proxy server","Graphical emoticon","Unicode (UTF-8)","Built-in games","Themes, skins","Plugin system","Third party add-ons","Scripting","Message logging","Voice messaging","Voice mail","Webcam support","Offline messaging","Remote desktop assistance","Whiteboard","RTL texting"
"Kopete","13","Qt/KDE","Yes","No","Yes","Yes","No","Yes","Yes","Yes","With plugin","Yes","Yes","No","Yes","Yes","No","No","Yes"
"Messages","11","Cocoa","Yes","?","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Partial","?"
"MCabber","4","Curses","No","?","No","Yes","No","?","?","No","?","Yes","No","No","No","Yes","No","No","?"
"Miranda IM","12","W32","Yes","Yes, socks4/5, http(s)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","No","Partial","Yes","No","Yes","Yes"
"Palringo","3","?","No","?","Yes","?","No","Yes","No","No","No","No","Yes","No","Partial (picture capture only)","?","No","No","?"
"Paltalk","9","N/A","Yes","?","Yes","No","Yes","Yes","No","No","No","Yes","Yes","?","Yes","Yes","?","?","?"
"Pidgin","7","GTK2","Partial","Yes, http, socks4/5","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Partial (XMPP in Linux)","No","Yes  (XMPP in Linux)","Yes","No","Partial","Yes"
"Psi","6","KDE/Qt","Yes","Yes","Yes","Yes","No","Partial (Icon sets only)","Not Yet","No","No","Yes","Partial (Linux & Unix)","No","No","Yes","No","No","Yes"
"QIP","10","W32, VCL","Yes","Yes, http(s), socks4/4A/5","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","?"
"Qnext","15","Swing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"QuteCom","6","Qt","Yes","?","Yes","Yes","No","Yes","No","No","?","?","?","?","Yes","?","?","?","?"
"Skype","12","Qt/KDE, W32","Yes","Yes","Yes","Partial","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes/No","Yes"
"Surespot","?","?","Yes","?","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","?","?","?"
"Tencent QQ","11","W32","Yes","?","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","?"
"Telegram","12","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","No","Yes","Yes"
"Tkabber","13","Tcl/Tk","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No"
"Tox","7","Qt, GTK, Ncurses, WPF","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes"
"Trillian","12","W32, Cocoa","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes","Yes","?","?","Yes"
"Wickr","7","No","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","No","No","?"
"Windows Live Messenger","15","W32","Yes","Yes, http, socks4/5,","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Xfire","6","W32","Yes","?","No","Yes","No","Yes","Partial","Yes","No","Yes","Yes","No","No","No","No","No","?"
"Yahoo! Messenger","11","W32, Cocoa, GTK","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Partial","Yes"
"Yuilop","7","?","Yes","No","Yes","?","No","No","No","No","?","Yes","Yes","No","No","Yes","No","Partial","?"
"Client","Number of features included","Toolkits or SDKs","File transfer","Proxy server","Graphical emoticons","Unicode (UTF-8)","Built-in games","Themes, skins","Plugin system","Third party add-ons","Scripting","Message logging","Voice messaging","Voice mail","Webcam support","Offline messaging","Remote desktop assistance","Whiteboard","RTL texting"
