"","Creator","Development started","First public release","Latest stable version","Cost (USD)","License","Notes"
"Perl Data Language","Karl Glazebrook","late 1990s","c. 1997","2.4.10 / 2012","Free","Artistic License","Used for astrophysics, solar physics, oceanography, biophysics, and simulation. 2D plotting via PGPLOT, PLPlot bindings; 3D via GL."
"PSPP","Ben Pfaff","1990s","1990s","0.8.4 / September 27, 2014","Free","GPL v.3 or later","FOSS alternative to IBM SPSS. Analysis of sampled data, frequencies, cross-tabs comparison of means (t-tests and one-way ANOVA); linear regression, logistic regression, reliability (Cronbach's Alpha, not failure or Weibull), and re-ordering data, non-parametric tests, factor analysis, cluster analysis, principal components analysis, chi-square analysis and more"
"R","R Foundation","1997","1997","3.2.0 / April 16, 2015","Free","GPL","Primarily for statistics, but there are many interfaces to open-source numerical software"
"Sage","William Stein","","2005","6.4.1 (23 November 2014; 6 months ago)","Free","GPL","Programmable, includes computer algebra, 2D+3D plotting. Interfaces to many open-source software. Web based interface HTTP or HTTPS"
"SAS","Anthony Barr and James Goodnight","1966","1972","9.4 / July 10, 2014","Not free","Proprietary",""
"DataMelt","S.Chekanov (jwork.org)","2005","2005","1.0 / 2013","Free","Free for non-commercial use","mathematics, symbolic calculations, algebra, data analysis, data mining, interactive 2D/3D graphics, Java scriptable, used for science and engineering, Cross-platform  (written in Java)"
"S-Lang","John E. Davis","","1992","2.2.0 / 2009","Free","GPL, Artistic License (1.x only)","Available as a standalone (slsh) and embedded interpreter (jed, slrn, ...)"
"Scilab","Scilab Enterprises Was:Inria","1990","1994","5.5.2 / April 1, 2015","Free","CeCILL license","Open source, community supported. Programmable, direct support of 2D+3D plotting. Interfaces to many other software packages. Interfacing to external modules written in C, Java, Python or other languages. Language syntax similar to MATLAB. Used for numerical computing in engineering and physics."
"SPSS","Normal H. Nie, Dale H. Bent, and C. Hadlai Hull","","1968","22.0 / August 13, 2013","Not free","Proprietary",""
"Sysquake","Calerga","","1998","5.0 / 2013","free / $2500 (Pro, commercial) / $1000 (Pro, academic)","Proprietary","interactive graphics"
"TK Solver","Universal Technical Systems, Inc.","late 1970s","1982","5.0.141 / 2011","$399 commercial / $49 (student)","Proprietary","Numerical computation and rule-based application development"
"VisSim","Visual Solutions","","1989","7.0a / 2008","$495-$2800 (commercial)
free view only version
$50-$250/free v3.0 (academic)","Proprietary","Visual Language for simulation and Model Based Design. Used in business, science and engineering. Performs complex scalar or matrix based ODE solving with parametric optimization. Has 2D and 3D plotting, 3D animation, and state transition built in."
"Yorick","n/a","n/a","n/a","2.1.06 / April 17, 2010","Free","GPL","Open source. Programmable, callable 2D+3D plotting. Language syntax similar to C. Interfacing to other software packages via C calls."
