"","Wireframe","Animation","Rendering","Imports","Exports"
"Maya","Yes","Yes","Yes","Ai, Pix, AVI, Cineon, EPS, GIF, Jpeg, Swf, Maya IFF, Maya16 IFF, MacPaint, PSD, PNG, Quantel, Quickdraw, MOV, RLA, SVG, SGI, SGI16, SGI Movie, TGA, TIF, BMP, HDR, Maya Ascii, Maya Binary, MEL, FBX, DXF, OBJ, IGES, StudioTools Wire, Aiff, VRML2, Openflight, STL","Maya Ascii, Maya Binary, Mel, FBX, DXF, OBJ, IGES, StudioTools Wire, VRML2, GE2, RTG, Mental Ray, RIB, Open Inventor2, OpenFlight, Maya IFF, AVI, QT, GIF, Softimage, RLA, BMP, TIF, SGI RGB, Alias PIX, Jpeg, EPS, Cineon, Quantel, TGA, Macpaint, PSD, PNG, Quickdraw, DDS."
"Metasequoia","Yes","No","Yes","3DS, COB (Caligari Object), DXF, LWO, OBJ, ROK (Rokkaku Daiō), RSD (PlayStation), SUF (DoGA CGA System)","3DS, COB (Caligari Object), DirectX, DXF, LWO, OBJ, POV-Ray, RDS (Ray Dream Studio), RIB, ROK (Rokkaku Daiō), RSD (PlayStation), SCE (SoftF/X Model), SUF (DoGA CGA System), VRML 1.0"
"Modo","Yes","Yes","Yes","LXO, sldprt, sldasm*, LWO2, LWOB, DXF, FBX, 3DS, GEO, EPS, AI, PSD, OBJ, DAE, MDD, FLX, TGA, BMP, GIF, HDR, HDR, JP2, JPG, JPEG, PNG, SGI, openEXR","LXO, LWO, X3D, DXF, FBX, PLT, PSD, GEO, OBJ, DAE, FLX, TGA, BMP, GIF, HDR, JP2, JPG, JPEG, PNG, TIF, openEXR, MOV, MWV"
"Remo 3D","Yes","Yes","Yes","3DC, 3DS, AC, DAE, DW, DXF, GEO, LWO, LWS, MD2, OBJ, OSG, OSGB, OSGT, OSGX, IVE, OSGA, P3D, PFB, PLY, STL, STA, SHP, X","3DS, DAE, DOT, OBJ, OSG, OSGB, OSGT, OSGX, IVE, P3D, IVE, STL"
"Shade","Yes","Yes","Yes","DXF, OBJ, SketchUp, XML; (Pro) 3DS, BVH, COLLADA, LWO","COLLADA, DXF, OBJ, RIB, SWF, QuickTime VR, Second Life Sculpted Prim, XML; (Pro) 3DS, Blue Mars, DirectX, EPix, LWO, VRML 2.0"
"Softimage","Yes","Yes","Yes","?","?"
"Solid Edge","Yes","Yes","Yes","IGES, STEP, DXF, JT, ACIS (SAT), ProE, SolidWorks, NX, SDRC, Microstation, Inventor, CATIA (V4/V5), Parasolid, Autocad, STL, XML, MDS","IGES, STEP, STL, PDF, EMS, JT, XGL, XML, DXF, Parasolid, CATIA (V4/V5), ACIS (SAT), Microstation, Autocad"
"SketchUp","Yes","Yes","Yes","JPG, PNG, TIF, TGA, BMP, SKP, SKP+KMZ, 3DS, DEM, DDF","JPG, PNG, TIF, BMP, DAE, SKP, SKP+KMZ"
"SketchUp Pro","Yes","Yes","Yes","JPG, PNG, TIF, TGA, BMP, SKP, SKP+KMZ, 3DS, DWG, DXF, DEM, DDF","JPG, PNG, TIF, BMP, DAE, SKP, SKP+KMZ, PDF, EPS, EPX, DWG, DXF, 3DS, FBX, OBJ, XSI, VRML, MOV(on Mac), AVI (on Windows)"
"Wings3D","Yes","No","Yes","3DS, AI, EPS, LWO, LXO, Nendo, OBJ, STL, SVG, Wings3D","3DS, BZFlag, COLLADA, DirectX, Kerkythea, LWO, LXO, Nendo, OBJ, POV-Ray, Renderware, STL, SVG, VRML 2.0, Wings3D"
