"Research Networking Tool","Link to Product Page","Developer/Owner","Open Source","Adopters"
"GENIUS","InfoEd GENIUS","InfoEd Global","No","Many Big Ten/CIC institutions"
"Google","Google search generated from an institution's home page or Google search limited to only one domain (e.g. university.edu)","Google","No (but anyone can access Google)","Anyone can access"
"HUBzero","HUBzero","Purdue University","Yes","Indiana CTSI, Indiana University, Purdue University, Notre Dame"
"iamResearcher","iamResearcher","University of Southampton, UK","Unknown","N/A (platform is directed toward individual researcher use)"
"iAMscientist","iAMscientist","iAMscientist.inc","No","Unknown"
"i2iConnect","i2iConnect","Indiana University","No (but original software from ThemesJoomla is)","N/A (platform is directed toward individual researcher use)"
"InCites","InCites","Thomson Reuters","No","Unknown"
"INDURE (Indiana Database for University Research Expertise)","INDURE","Indiana University / Purdue University","No","Ball State, Indiana University, Purdue University, University of Notre Dame"
"Knode","Knode","Knode","No","Multiple, anyone can use, collaborating with VIVO and UCSF"
"Lattes Platform","Lattes","CNPq - Brazil","Unknown","N/A (Platform is directed toward individual researcher use in Brazil)"
"LatticeGrid","LatticeGrid public Wiki","Northwestern University Clinical and Translational Sciences Institute (NUCATS) - Biomedical Informatics Center (NUBIC)","Yes","Northwestern Feinberg School of Medicine & Cancer Center, UCSF Cancer Center, Fox Chase Cancer Center, University of Michigan, Case Western University"
"LinkedIn","LinkedIn","LinkedIn","No (but LinkedIn is free to use)","N/A (Platform is directed toward individual researcher use. Millions of users are registered globally.)"
"Life Science Network","Life Science Network","Life Science Network gGmbH","Yes (upon request)","Anyone can use."
"Loki","Loki","University of Iowa","No","University of Iowa Institute for Clinical and Translational Science"
"McCormick Collaboration Visualization Tool","Collaboration at McCormick","Northwestern University","No","McCormick School of Engineering and Applied Science at Northwestern University"
"Mendeley","Mendeley","Mendeley","No","Anyone can use"
"MizzouLinks","none available","University of Missouri","Unknown","University of Missouri"
"MyScienceWork","MyScienceWork","Unknown","No (but anyone can register and use the network)","Anyone can register and use. The network is directed at the individual researcher"
"OSU:pro","OSU:pro","Ohio State University","No (but can be licensed)","Ohio State University"
"Pivot","Pivot","ProQuest, LLC","No","100 university campuses and research organizations globally"
"Profiles Research Networking Software","Profiles","Harvard University","Yes (BSD license)","Harvard, UCSF, and many others (see Profiles users )"
"REACH NC Life Science Experts Visualization Tool","REACH NC","RENCI (Renaissance Computing Institute, a collaboration between University of North Carolina at Chapel Hill, Duke University and North Carolina State University) Duke Research Triangle Institute University of North Carolina General Administration","No (but free to the public)","Appalachian State University Duke University East Carolina University Elizabeth City State University Fayetteville State University NC A&T North Carolina Central University North Carolina State University RTI International UNC-Asheville  University of North Carolina at Chapel Hill UNC-Charlotte UNC-Greensboro UNC-Pembroke UNC-Wilmington Western Carolina University Winston-Salem State University"
"Research Accelerator","YCCI Research Accelerator","ResearchAccelerator.org","Unknown","Yale University"
"ResearcherID","ResearcherID","Thomson Reuters","No (but ResearcherID network is free to access and use by individual users)","N/A (Platform is directed toward individual researcher use)"
"SciENcv","SciENcv","A pilot program sponsored by the Federal Demonstration Partnership and the National Science and Technology Council (NSTC) supported by the STAR METRICS program","Yes","Sponsored by the Federal Demonstration Partnership and the NSTC's interagency groups: Research Business Model (RBM) and Science of Science Policy (SoSP)"
"Symplectic Elements","Symplectic Elements","Symplectic","No (However, an open source VIVO Harvester extension is available.)","60+ major research institutions around the world, including the University of Cambridge (UK), University of Oxford (UK), University of Melbourne (AUS), Duke University (US), University of Auckland (NZ), Cornell University (US), Georgia Tech (US).  (see Some of Symplectic's clients)"
"VIVO","VIVO and VIVO at Sourceforge","Cornell University (original developers) and University of Florida","Yes","Cornell University, University of Florida, Washington University in St. Louis, Weill Cornell Medical College, Indiana University, Ponce School of Medicine, Scripps Research Institute, Duke University, University of Colorado at Boulder, Northwestern University, University of Nebraska, University of Melbourne, Griffith University, Chinese Academy of Sciences, etc. There are currently over 50 VIVO implementations in the United States and international VIVO projects in over 25 countries."
"WorkWeb","WebWork at archive.org","Columbia University","No","Columbia University"
"Yaffle","Yaffle","Memorial University of Newfoundland","Yes","Memorial University of Newfoundland"
