"Program","Operating systems","License","Protocols/based upon/compatible with","Encryption","Other capabilities","Key and target markets","Latest release"
"Murmur","Linux/BSD, Mac OS X, Windows","BSD / GPL","CELT, Speex, Opus","TLS","Chat with (limited) embedded HTML, ACLs for user management, Customizable In-Game Overlay, Directional Audio, Plugin Support, Nested Channels","Individuals to Small and medium enterprise (25-5000 users)","1.2.8 (August 8, 2014)"
"Mysipswitch","Linux","BSD","SIP, Ajax","SSL","SIP proxy server which allows the use of multiple SIP accounts with a single SIP login","Individuals","August 2007"
"Objectworld UC Server","Windows XP/2003/2008","Proprietary","SIP","No","IP PBX, personal assistants, IVR, automated phone provisioning, fax server, unified messaging, Outlook, Exchange and Lotus Domino/Notes integration, conferencing, outbound dialing","Small and medium enterprise (25-2000 users)","4.4.2 (May 2009)"
"Kamailio/OpenSIPS (formerly known as OpenSER)","Linux/BSD, Solaris","GPL","SIP, XMPP","No","SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, least-cost-routing and many others.","SIP Service Providers","4.0.1 (25 April 2013; 2 years ago)"
"snom ONE (formerly pbxnsip)","Linux/BSD, Mac OS X, Windows","Proprietary","SIP","SRTP","IP PBX, presence indication, IVR, automated phone provisioning, fax server, unified messaging, Outlook, Exchange integration, conferencing, outbound dialing","Small and medium enterprise (25-256 users)","3.3.1.3177 (April 2009)"
"Revation LinkLive","Windows server / Linux","Proprietary","Proprietary","TLS, SRTP","Secure Unified Communications, Presence, Instant Messaging/Chat, VoIP, Video, Desktop Sharing, File Sharing, IVR, PBX, Voicemail, ACD, Email Server","Unified Communications Service Providers","7.0 (June 2014)"
"SIP Express Router (SER)","Linux/BSD, Solaris","GPL","SIP","No","SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, and many others...","SIP Service Providers","2.0.0 Ottendorf"
"sipXecs IP PBX","Linux","AGPL","Native SIP Call Control, XMPP","TLS, SRTP","Full redundancy (HA), Instant Messaging, Voicemail, User Portal, Admin GUI, plug & play management including phones and gateways, fully featured","Enterprises between 10 and 10,000 users, multi-site","14.04.2 (July 2014)"
"Unison","Linux","Proprietary","SIP, XMPP, IMAP, SMTP, CalDAV","SSL, TLS","Unified messaging, IP PBX, IVR, instant messaging, calendar server, LDAP server, E-mail server","Small and medium enterprise (25-256 users)","3.0 (February 2010)"
"vzRoom","Windows","Proprietary","SIP","SSL, TLS, AES","Instant Messaging/Chat, VoIP, Video, Desktop Sharing, Video Sharing, whiteboard, File Sharing, scheduler, recording","Individual to small and medium enterprise (2-1,000 users)","0.8.8.735 (November 2010)"
"Yate","BSD, Linux, Mac OS, Windows","GPL","SIP, IAX, H.323, ISDN, XMPP (Jabber), Jingle (Google Talk), MGCP, SS7 over IP, Cisco SLT (Signalling Link Transport) (SS7 MTP2 backhaul over IP), SCTP, SCCP, TCAP, MAP CAMEL","SSL, TLS, SRTP","Voice, Video, File Transfer, Data, H323 to SIP Signalling proxy, Instant Messaging, IVR, PC2Phone and Phone2PC gateway, SCCP - GTT routing between networks, Secure Unified Communications, SIP Registrar/Proxy, SIP SBC (session border controller), USSD, Voicemail, VoIP, VoIP to PSTN gateway, Conference server (max 200 voice channels per conference), Call centre server, Prepaid and/or postpaid cards...","Deployed on home servers and large networks with millions of users","5.5 (May 2015)"
