"Research Networking Tool","Interoperability with Institutional Enterprise Systems","Interoperability with External Systems","Integration with Add-on Components or Products","Regional, National, International or Federated Connectivity?"
"Faculty Scholarly Productivity Index","Unknown","Unknown","Unknown","No"
"GENIUS","Yes","Yes Only other InfoEd modules (SMARTS: Service that automatically sends notices of funding opportunities via email. You provide keywords that describe your research interests, and SMARTS matches those keywords with present funding programs; SPIN: Enables subscribers to directly search for all sponsored programs - past and present, contained within the InfoEd database)","Unknown","No"
"Google","No","Yes","Possibly","No"
"HUBzero","No","Yes PubMed; data is semantic web compliant as of August 2011","Possibly","No"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","No","Yes PubMed","Unknown","No"
"i2iConnect","No","No","Unknown","Yes"
"InCites","Yes (Institutions have access to Web Services in order to feed data into internal databases.)","Yes (Integrates with Converis.)","Yes (Web of Science, ResearcherID)","No"
"INDURE (Indiana Database for University Research Expertise)","No","No","Unknown","Yes for 4 Indiana institutions only"
"Lattes Database","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","Yes InfoEd, eIRB, Medical School faculty database","Yes (PubMed)","Yes (Possible)","Yes National federated connectivity through DIRECT2Experts"
"LinkedIn","No","No","Unknown","No"
"Life Science Network","No","Yes (Pubmed)","No","No"
"Loki","Yes Possible","Yes","Unknown","No"
"McCormick Collaboration Visualization Tool","No","Yes Only Thomson Reuters Web of Science","Unknown","No"
"MizzouLinks","Maybe","No","Unknown","No"
"MyScienceWork","No","Unknown","Unknown","Yes"
"OSU:pro","No","Unknown","Unknown","No"
"Pivot","No","Maybe","Unknown","Unknown"
"Profiles Research Networking Software","Yes","Yes Pubmed, commercial sources of publication data, semantic web applications via VIVO ontology.","Yes","Yes Profiles Users Group has regular conference calls and works on collaborative software development projects. Profiles can perform federated queries across other Profiles instances, and with other products using linked open data (VIVO ontology) and the DIRECT2Experts API."
"REACH NC Life Science Experts Visualization Tool","Yes","Yes Through SciVal API","No","No"
"Research Accelerator","No","No","Unknown","No"
"ResearcherID","No","Yes Through ResearcherID download service, institutions can load data into their internal systems. Also is integrated with other Thomson Reuters offerings, including Web of Knowledge, EndNote, and Research In View","Unknown","No"
"SciENcv","Yes (is possible through open data exchange standards)","Yes","Unknown","No"
"Symplectic Elements","Yes Clients have the ability to integrate with existing web profile management systems, export data for business intelligence solutions and easily submit research outcomes for various government assessment exercises. This includes HR, publications, teaching activities, grants, institutional repositories, and any other system providing or consuming research data.","Yes Elements integrates with a variety of external systems including: Altmetric, figshare, ORCID, Sherpa/RoMEO (licensing information), DOAJ (licensing information)","Yes Elements can be linked to all major open repository technologies and an open source VIVO Harvester extension is also available.","No"
"VIVO","Yes Data can be ingested from a wide variety of local sources (including HR, grants, course databases, institutional repositories, membership rosters, research interests, and many others) to reflect a complete view of the institution's priorities and efforts.","Yes see mini-grants <>; eagle-i; Drupal; many others - any tool that can consume open linked data.  Other ongoing collaborations with Wellspring (maintaining VIVO profiles with a focus upon tech transfer and also as a 3rd party implementation service provider) and with Symplectic.","Yes VIVO collaborates with eagle-I on research resources.  Future plans include adding many additional data types which are meaningful in the academic research setting.  VIVO data are structured using a comprehensive ontology designed for local extension and major ontology ""plugins"" such as BIBO and eagle-i.","Yes VIVO Consortium received $12.2M NIH ARRA U24 award in 2009 to fully develop software and create national system of federated research expertise directories/research networking systems; All other semantic web-compliant software platforms can be integrated into the consortium (example: Harvard Profiles).  Participant in Direct2Experts and VIVO Search"
"Yaffle","No","No","Unknown","The Canadian research funding councils as well as knowledge mobilization networks across the country (governments and universities) are working to develop a model to share what Yaffle has built"
