"µTorrent","BitTorrent","No","magnet","Free","OS X, Windows, Linux","Proprietary","C++","No","Microsoft Windows:
3.4.3 (Build 40298) (May 5, 2015; 37 days ago) 

OS X for Intel:
1.8.7 (Build 40398) (May 15, 2015; 27 days ago) 

OS X for PPC:
1.6.5 (Build 27624) (July 25, 2012; 2 years ago) 

Android:
3.4 (May 28, 2015; 14 days ago)","Specifically designed to be very small; entire program runs from a 315KB compressed executable which can be either installed or run as a stand-alone.",""
"Nachtblitz","I2P (protocol Kad network)","Yes","ed2k, magnet","Free","Windows, Linux with Wine","GPL",".NET Framework","Yes","1.4.18 (April 30, 2014)","needs I2P to run",""
"Net Transport","BitTorrent, eMule; HTTP/FTP download","?","?","?","?","?","?","?","?","",""
"Nodezilla","Private","Yes","No","Free","Linux, Windows","core proprietary, GUI GPL","Java","Yes","2010","Most is proprietary, GUI is GPL.",""
"Opera","BitTorrent; HTTP/FTP download","No","No","Free","Linux, OS X, Windows","Proprietary","C++","Yes","; Windows, OS X, Linux
30.0.1835.59 (June 10, 2015; 1 day ago




 )","",""
"Perfect Dark","Perfect Dark","Yes","No","Free","Windows","Proprietary","?","Yes","2014","Boards. Auto update.",""
"Piolet","MP2P","No","MP2P","Free or US$19.95","Windows","Proprietary","?","No","2008","",""
"","BitTorrent","No","magnet","Free","Linux, Solaris, OS X, Windows","GPL","C++","Yes","3.2.0 (May 9, 2015; 33 days ago)","",""
"Retroshare","Retroshare","Yes","Own format","Free","Windows, Linux, Mac OS","GPL","C++","Yes","0.5.5c (2014), 0.6.0 beta (2015)","Uses PGP for friend authentication. Decentralized F2F network type.",""
"RShare","RShare","Yes","No","Free","Windows","GPL","C#","Yes","2007","eMule-like usability",""
"Robert","I2P (protocol BitTorrent)","Yes","magnet","Free","Linux, OS X, Windows","GPL","Python","Yes","2012","needs I2P to run",""
"Share","Share","Yes","No","Free","Windows","Proprietary","Object Pascal (Delphi)","Yes","2006","Anonymous developer; tries to be Winny successor",""
"Shareaza","eDonkey, BitTorrent, Gnutella, Gnutella2, Direct Connect; HTTP/FTP download","No","ed2k, magnet, Piolet/MP2P, gnutella","Free","Windows","GPL","C++","Yes","2.7.8.0 (December 15, 2014; 5 months ago)","Uses a powerful files library; maintained by volunteer group",""
"Sharing Max","Sharing Max","No","Yes","Free","Windows","Proprietary","Visual Basic","No","2012","",""
"SoMud","SoMud","No","magnet uri, meta link","Free","Windows, OS X","Proprietary","C++","Yes","2013","Search and download P2P and web video networks such as YouTube and Yahoovideo etc.",""
"StealthNet","RShare","Yes","No","Free","Linux, OS X, Windows","GPL","C#","Yes","2011","Evolution of the RShare client with many functions.",""
"Soulseek","Soulseek","No","No","Free, donations for privileges","Windows","Proprietary","?","Yes","SoulseekQt build 2015.2.21 (February 21, 2015; 3 months ago)","Folder downloads, browse users with folder trees, no multi-source downloads",""
"SymTorrent","BitTorrent","No","No","Free","Symbian S60","GPL","C++","Yes","2008","Runs on mobile phones with Symbian operating system",""
"Thaw","Freenet","Yes","No","Free","Linux, OS X, Windows","GPL","Java","Yes","2008","",""
"Transmission","BitTorrent","No","magnet","Free","BeOS, Linux, OS X","MIT","C, Objective-C","Yes","2.84 (1 July 2014; 11 months ago)","Lightweight, cross-platform",""
"Tribler","BitTorrent","Yes","magnet","Free","Windows, Linux, OS X","GNU LGPL v2.1+","Python, C++","Yes","6.4.3 (January 21, 2015; 4 months ago)","Unlike most other torrent clients, Tribler is decentralized (as well as anonymous) and does not rely on any trackers or any other indexing service to discover content. Also features a built-in video streamer.",""
"TrustyFiles","eDonkey, Overnet, Gnutella, Gnutella2, FastTrack, BitTorrent","No","ed2k","Free or US$29","Windows","Proprietary","?","adware & spyware","2007","Has code stolen from Gnucleus, giFT, and avlib; Linux version announced, but never released; takeover similar to the Shareaza.com and Lphant issues is likely to have happened",""
"uGet","BitTorrent; HTTP/FTP download","?","magnet, metalink","Free","Linux, Windows, Android","LGPL","C, GTK+","Yes","2014","uGet 2.0 is currently in Beta Development (as of 9 September 2014) and available for testing via uGetdm.com",""
"Vuze 
 (formerly Azureus)","BitTorrent","No (except when using I2P)","magnet","Free","Linux, OS X, Windows","GPL","Java","No","5.6.0.0 (March 3, 2015; 3 months ago)","",""
"Warez P2P","iP2P DHT","No","No","Free or US$19.99","Windows","Proprietary","?","Yes","2007","Developer claims Warez v3.0 beta is malware-free",""
"WinMX","WinMX Peer Network (independent, now user-operated), OpenNAP, chatrooms supported","No","No","Free","Windows","Proprietary","C++","Yes","2004","Official development has ceased due to RIAA coercion. Versions 3.53, 3.54 beta 4 and older are available from 3rd parties.",""
"Winny","Winny","Yes","No","Free","Windows","Proprietary","C++","Yes","2003","",""
"Wuala","Wuala","No","No","Free","Linux, OS X, Windows","Proprietary","Java","Yes","2009","",""
"YobiDrive FLOWS","YobiDrive","No","No","Free","Linux, OS X, Windows","Proprietary","Java","Yes","2013","",""
"Name","Network","Anonymous P2P","Link system compatibility","Price","Platform","License","Programming language","Spyware or adware free","Last release year","Extra information",""
