"Name","View functions","Other functions","License"
"Geeqie","Full-screen, slideshow, zoom, color spectrum, 14 sizes of thumbnails","Rotate, move, rename, hue, contrast, find/remove duplicates","GNU GPL"
"Gonvisor","Fit to window, zoom, print, full-screen, slideshow, image collection, image information, view images in compressed ZIP, RAR, or 7z files.","Rotate, flip, save as, used for reading comics and manga.","Proprietary"
"GraphicConverter","Full-screen, slideshow, etc.","Rotate, move, rename...","Proprietary"
"gThumb","Full-screen, slideshow, zoom, color spectrum, three sizes of thumbnails","Rotate, move, rename, hue, contrast,","GNU GPL"
"Gwenview","fullscreen, slideshow, zoom, rotate, adjust gamma/contrast/brightness, disk navigator, file tree, thumbnails, extended thumbnails, bookmarks...","add border, filter, effects, resize, rename, raw image converter, recompress, edit color...","GNU GPL"
"ImageAXS","Unicode","Organizing photos, importing image files, tracking features, as well as tags and collections for further sorting.","Proprietary"
"IMatch","DAM, thumbnails, slide-show,
image previews, Unicode","Maintains a database for thumbnails and metadata.
Sorting, searching, categorising.
Standards-compliant metadata editing.
Will handle very large collections.","Proprietary"
"iPhoto","Thumbnails, fullscreen, slideshow, camera information, search, tags, organize by event or album, auto organize by date during first import","Lossless JPEG rotate, Cropping (custom and template), Brightness/Contrast, Red-eye, Retouch, Color Enhancement, B&W and Sepia Conversion, Export to multiple format & size","Proprietary"
"IrfanView","Thumbnails (18 pre-defined sizes from  50×50–800×800 pixels), fullscreen, slideshow, zoom, fit (several options), view IPTC and Exif info, hex view, histogram (also RGB); Format detection with offer to rename, set wallpaper, EXE/SCR creation, Burn slideshow to CD; directory tree
32 languages (version 4.28/4.30)","Add Text, Crop, Cut/Copy selected area, Paste-Into selected area, paste from PrintScreen, Resize/Resample, Rotate, Flip Vert/Horiz, JPEG lossless transformations, Color Adjustments, change color depth, Greyscale, Red-Eye Reduction, Sharpen, effects/filters, Own and 8bf (Photoshop) plugins compatibility, insert text, edit IPTC info, Move, Copy, Delete, Rename, Convert, batch conversion, batch renaming/resizing/cropping, panorama creation, send email
via IrfanView Thumbnails/Plugins: contact sheet creation, thumbnail creation, web gallery creation, face detection","Proprietary"
"KSquirrel","disk navigator, file tree, thumbnails, bookmarks, fullscreen, KIPI plugins ...","resize, rotate, colorize, convert, print ...","GNU GPL"
"KPhotoAlbum","Zoom, Rotate, Metadata, Exif, thumbnails (customize size), slideshow, Categories","As Available per KIPI plugins","GNU GPL"
"Lphoto","Zoom, Slideshow, camera information,","Crop, redeye, color tweaking, auto attach and resize for email, export to HTML, export to CD","GNU GPL"
"Phase One Media Pro","Thumbnails, Slideshow, Zoom, Print, Light Table, Library organization, best practice DAM","Rotate, rename, delete, batch rename, Add/Edit Metadata (IPTC, EXIF, Custom), Free Reader App to distribute catalogs","Proprietary"
"Paint.NET","Thumbnail, Zoom, Rotation, Multiple Page support, Pan, Fit to screen","Resize, Crop, Copy, Paste, Black and white/sepia, various blurs, add and reduce noise, Plugin Support","(Creative Commons Non commercial CC-BY-NC)"
"Photos","","","Proprietary"
"Picasa","Zoom, lossless rotate, histogram, camera information, Thumbnails (fully adjustable), Slide Show (Full Screen w/zoom), Magnifier, Search, Search for faces","Crop, straighten, redeye, color tweaking, retouch, tuning, add text, numerous effects, batch edit, batch rename, video rendering, HTML gallery creation, photo browser application creator, screensaver, face recognition, keyword tagging, geo-tagging, photo collage, original file preservation, reorganize storage","Proprietary"
"Preview","Zoom, rotate, metadata","Crop, straighten, color tweaking, profile assignment","Proprietary"
"Shotwell","Thumbnails, Fullscreen, Slideshow, Zoom, Print, Camera Information, Events","Auto Enhance, Rotate, Mirror, Flip, Red Eye, Crop, Exposure, Saturation, Tint, Temperature, Shadows, Revert to Original, Rename, Straighten, Change Time/Date, Publish to Facebook, Picasa Web Albums, Flickr","GNU LGPL"
"Simple Comic","slideshow, double image layout, left-to-right & right-to-left ordering, thumbnail navigation, zoom, print","Quick Look for comic book archive, Finder icons, text notes, delete files, extract files","MIT"
"STDU Viewer","fullscreen, fit to window, zoom, print","rotate, brightness, contrast, gamma setting","Proprietary"
"Windows Live Photo Gallery","fullscreen, slideshow, fit, zoom, print","Panorama stitching, adjust brightness, contrast, color saturation/hue, filters, stitching, rotate, straightening and skew, face recognition.","Proprietary"
"Windows Photo Gallery","fullscreen, slideshow, fit, zoom, print","","Proprietary"
"Windows Picture and Fax Viewer","fullscreen, slideshow, fit, zoom, print","rotate, lossy JPEG rotate, annotate TIFF images","Proprietary"
"XnView","Thumbnails (user-defined sizes), fullscreen, slideshow, zoom, fit, view IPTC and Exif info, ...","Resize, crop, rotate, flip, JPEG lossless rotate/flip/crop, adjust exposure and colors etc., filters (sharpen, blur, average, emboss, ...), batch convert, batch rename, edit IPTC info, ...","Proprietary"
"Xv","View as ASCII or Hex, magnify, determine pixel values","Crop, pad, resize, rotate, flip, brightness, contrast, gamma, saturation, hue, colormap, reduce colors, dither, convert, and more","Proprietary"
"Zoner Photo Studio","Thumbnails (user-defined sizes), fullscreen, histogram, slideshow with transitional effects, auto rotation, JPEG lossless rotate, pan, zoom, fit, ITPC and Exif info, GPS support, full Unicode support, free version does not support color profiles...","Resize, crop, rotate, flip, JPEG lossless rotate/mirror, adjust exposure, colors, contrast, saturation, hue, white balance, levels, curves, gamma correction, filters (sharpen, blur, soften, edge, emboss, average, grayscale, ...), .8bf (Photoshop) plugins compatibility, color management, batch operations, image conversions with reduced/dithered colors, batch rename, red eye removal, edit ITPC, XMP and Exif info, time creation offset, merge to HDR, PDF presentation, panorama creation, lens correction, anti-vignetting, web picture gallery, DNG/RAW image converter, TWAIN scanners support, send pictures via e-mail, 3D pictures, dynamic calendar generation, support for WIC codecs (RAW processing)...","Proprietary"
"","","",""
