"Simics","Wind River","x86, x86-64","8051, 68000, ARM (v4, v5, v6, v7), MIPS32, MIPS64, Cavium cnMIPS, Broadcom XLR MIPS, Freescale Power Architecture 32-bit and 64-bit (e300, e500, e600, e5500, e6500), IBM Power Architecture (POWER, PPC44x, PPC46x, 47x), SPARC v8 (LEON), SPARC v9 (UltraSparc), x86 (from 80286 to Sandy Bridge), x86-64 (from Pentium4 to Sandy Bridge), TI TMS320C64xx, Renesas H8, Renesas SH","Windows 32-bit and 64-bit, Linux 32-bit and 64-bit","Depends on target machine, typically runs unmodified software stacks from the corresponding real target, including VxWorks, VxWorks 653, OSE, QNX, Linux, Solaris, Windows, FreeBSD, RTEMS, TinyOS, Wind River Hypervisor, VMware ESX, and others","Proprietary"
"Sun xVM Server","Sun Microsystems","x86-64, SPARC","Same as host","No host OS","Windows XP, 2003 Server (x86-64 only), Linux, Solaris","GPL version 3"
"SVISTA 2004","Serenity Systems International","x86","x86","Windows, OS/2, Linux","Windows, Linux, OS/2, BSD","Proprietary"
"TRANGO","TRANGO Virtual Processors, Grenoble, France","ARM, XScale, MIPS, PowerPC","Paravirtualized ARM, MIPS, PowerPC","No host OS, Linux or Windows as dev. hosts","Linux, eCos, µC/OS-II, WindowsCE, Nucleus, VxWorks","Proprietary"
"User Mode Linux","Jeff Dike, other developers","x86, x86-64, PowerPC","Same as host","Linux","Linux","GPL version 2"
"VirtualBox","Innotek, acquired by Oracle Corporation","x86, x86-64, Intel VT-x, AMD-V","x86, (x86-64 only on VirtualBox 2 and later with hardware virtualization)","Windows, Linux, Mac OS X x86, Solaris, FreeBSD, eComStation","DOS, Linux, Mac OS X Server, FreeBSD, Haiku, OS/2, Solaris, Syllable, Windows. 



Also OpenBSD but only with hardware virtualisation indicating inaccuracies in the software memory emulation layer but tolerated by other OS's.","GPL version 2; full version with extra enterprise features is proprietary:"
"Virtual Iron 3.1","Virtual Iron Software, Inc., acquired by Oracle","x86 VT-x, x86-64 AMD-V","x86, x86-64","No host OS","Windows, Linux","Full product is proprietary, a few components are GPL version 2"
"Virtual PC 2007","Connectix & Microsoft","x86, x86-64","x86","Windows Vista (Business, Enterprise, Ultimate), XP Pro, XP Tablet PC Edition","DOS, Windows, OS/2, Linux (SUSE, Xubuntu), OpenSolaris (Belenix)","Proprietary"
"Windows Virtual PC","Connectix & Microsoft","x86, x86-64 with Intel VT-x or AMD-V","x86","Windows 7","Windows XP, Windows Vista, Windows 7, Windows Server 2003, Windows Server 2008","Proprietary"
"Virtual PC 7 for Mac","Connectix & Microsoft","PowerPC","x86","Mac OS X","Windows, OS/2, Linux","Proprietary"
"VirtualLogix VLX","VirtualLogix","ARM, TI DSP C6000, x86, Intel VT-x, Intel VT-d, PowerPC","Same as host","No host OS","Linux, Windows XP, C5, VxWorks, Nucleus, DSP/BIOS, proprietary","Proprietary"
"Virtual Server 2005 R2","Connectix & Microsoft","x86, x86-64","x86, x86-64","Windows Server 2003, 2008, XP (Requires IIS)","Windows NT, 2000, 2003, 2008, Linux (Red Hat, SUSE, Ubuntu)","Proprietary"
"Synopsys (CoWare) Virtual Platform","CoWare","x86, x86-64, SPARC v9","Devices including (multi) cores from ARM, MIPS, PowerPC, Toshiba MeP, Renesas SH, Texas Instruments, Tensilica, ZSP","Windows, Linux, Solaris","Depends on guest CPU; includes: Linux (various flavors), µITRON (various flavors), Windows CE, Symbian, more","Proprietary"
"Virtuozzo","SWsoft, now Parallels, Inc.","x86, IA-64, x86-64","x86, IA-64, x86-64","Linux, Windows","Linux, Windows","Proprietary"
"VMware ESX Server","VMware","x86, x86-64","x86, x86-64","No host OS","Windows, Linux, Solaris, FreeBSD, OSx86 (as FreeBSD), virtual appliance, Netware, OS/2, SCO, BeOS, Haiku, Darwin, others: runs arbitrary OS","Proprietary"
"VMware ESXi","VMware","x86, x86-64","x86, x86-64","No host OS","Same as VMware ESX Server","Proprietary"
"VMware Fusion","VMware","x86, x86-64","x86, x86-64","Mac OS X x86","Same as VMware ESX Server","Proprietary"
"VMware Server","VMware","x86, x86-64","x86, x86-64","Windows, Linux","Same as VMware ESX Server","Proprietary"
"VMware Workstation","VMware","x86, x86-64","x86, x86-64","Windows, Linux","Same as VMware ESX Server","Proprietary"
"VMware Player","VMware","x86-64","x86, x86-64","Windows, Linux","Same as VMware ESX Server","Proprietary, free of charge for personal non-commercial use"
"Wind River Hypervisor","Wind River","x86, x86-64, PowerPC, ARM","Same as host","No host OS","Linux, VxWorks, unmodified guests (including MS Windows and RTOSes such ach OSE, QNX and others), bare metal virtual board","Proprietary"
"Wind River VxWorks MILS Platform","Wind River","PowerPC","Same as host","No host OS","VxWorks, bare metal virtual board","Proprietary"
"Xen","Xensource, Now Citrix Systems","x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive)","Same as host","GNU/Linux, Unix-like","GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows 7/XP/Vista/Server 2008 (requires  Intel VT-x (Vanderpool) or AMD-V (Pacifica)-capable CPU), Plan 9","GNU GPLv2 +"
"XenServer","By Citrix Systems","x86, x86-64, ARM, IA-64 (inactive), PowerPC (inactive)","Same as host","No host Os","GNU/Linux, FreeBSD, MiniOS, NetBSD, Solaris, Windows 7/XP/Vista/Server 2008 (requires  Intel VT-x (Vanderpool) or AMD-V (Pacifica)-capable CPU), Plan 9","GNU GPLv2 +"
"XtratuM","Universidad Politecnica de Valencia","x86, x86; SPARC v8 LEON2/3","Same as host","No host OS","GPOS: Linux, RTOS: PartiKle, RTEMS","GPL"
"z/VM","IBM","z/Architecture","z/Architecture, z/VM does not run on predecessor mainframes","No host OS, itself (single or multiple levels/versions deep, e.g. VM/ESA running in z/VM 4.4 in z/VM 5.2 in z/VM 5.1.)","Linux on zSeries, z/OS, z/VSE, z/TPF, z/VM, VM/CMS, MUSIC/SP, OpenSolaris for System z, predecessors","Proprietary"
"z LPAR","IBM","z/Architecture","z/Architecture","Integrated in firmware of System z mainframes","Linux on zSeries, z/OS, z/VSE, z/TPF, z/VM, MUSIC/SP, and predecessors","Integrated in firmware of System z mainframes"
"Name","Creator","Host CPU","Guest CPU","Host OS(s)","Guest OS(s)","License"
